Actual Flu Population,Estimated Flu Population
6.7500005,7.699607
6.0,7.264831
6.7500005,7.8438644
6.7500005,7.73445
6.25,7.5482607
7.5000005,8.4751215
5.0,6.610762
6.0,7.1339526
7.0,7.853669
5.25,6.6405687
7.75,8.331931
7.75,8.527119
4.75,6.479766
5.25,6.771518
6.5,7.556848
5.75,7.0911703
5.75,7.109014
5.5,6.7963133
6.0,7.1976676
5.75,6.986654
6.25,7.3343163
5.25,6.8614025
6.0,7.2950025
6.0,7.323356
5.5,6.8691254
7.0,7.8175616
4.25,6.01442
5.25,6.7163796
6.25,7.443075
4.5,6.2197566
7.0,8.043353
7.0,7.9586134
4.0,5.898646
4.75,6.3841248
5.75,7.0590863
5.0,6.6393642
5.0,6.555445
4.75,6.241474
5.25,6.712542
5.0,6.6113887
5.5,6.7594767
4.5,6.259897
5.25,6.6676955
5.25,6.589003
5.0,6.348814
6.25,7.548984
3.7500002,5.790255
4.5,6.273161
5.75,7.0946693
3.7500002,5.6509805
6.5,7.4923835
6.5,7.556183
3.5,5.638734
4.0,5.8389883
5.25,6.540136
4.5,6.147254
4.5,6.0933423
4.25,5.930024
4.75,6.331539
4.5,6.101035
5.0,6.5296044
4.0,5.8055997
4.75,6.2624025
4.75,6.318972
4.25,5.913057
5.75,7.009923
3.25,5.593294
4.0,5.92603
5.0,6.4453287
3.25,5.500424
6.0,7.0216737
5.75,7.0286727
3.0,5.379441
3.5,5.5306916
4.75,6.286403
4.0,5.974102
4.0,5.9230647
3.7500002,5.557335
4.0,6.0829873
4.0,5.771469
4.25,6.1391306
3.5,5.6247845
4.25,6.1149178
4.25,6.088511
3.7500002,5.7063103
5.25,6.495862
2.75,5.216515
3.5,5.5138426
4.5,6.1600213
2.75,5.213699
5.5,6.782972
5.25,6.6180882
2.5,5.060382
3.0,5.439524
4.25,5.982253
3.5,5.5571117
3.5,5.486962
3.25,5.630986
3.7500002,5.7545767
3.5,5.6686544
4.0,5.8745
3.0,5.109849
3.7500002,5.7392316
3.7500002,5.700755
3.25,5.478009
4.75,6.446638
2.25,4.973107
3.0,5.339949
4.0,5.930177
2.25,5.004341
5.0,6.538514
5.0,6.3748984
2.25,4.893305
2.75,5.247891
3.7500002,5.664213
3.0,5.396284
3.0,5.326634
2.75,5.237839
3.25,5.5467257
3.0,5.391047
3.5,5.579353
2.75,5.109804
3.25,5.420075
3.25,5.429846
3.0,5.2636104
4.5,6.2305756
2.0,4.7645884
2.5,5.1285357
3.7500002,5.4909043
2.0,4.766523
4.5,6.222036
4.5,6.1875105
2.0,4.857692
2.25,4.9614472
3.25,5.4124436
2.75,5.108338
2.75,5.043648
2.5,5.0264845
2.75,5.113801
2.75,4.9833035
3.0,5.262772
2.25,4.8792844
3.0,5.345847
2.75,5.148339
2.5,5.0958576
4.0,5.9504933
1.75,4.658908
2.25,4.8894315
3.25,5.484345
1.75,4.7573853
4.25,6.00045
4.0,5.850393
1.75,4.7297835
2.0,4.8109016
3.0,5.273093
2.5,5.131783
2.25,4.880085
2.25,4.804394
2.5,5.1404634
2.25,4.8670506
2.75,5.1440525
2.0,4.7451043
2.5,5.000053
2.5,5.024594
2.25,4.947054
3.7500002,5.658321
1.5,4.6257434
2.0,4.745855
3.0,5.3626685
1.5,4.5868464
3.7500002,5.5343323
3.7500002,5.675405
1.5,4.5558147
1.75,4.7901964
2.75,5.2181816
2.0,4.924695
2.0,4.730346
2.0,4.945429
2.25,4.8174086
2.0,4.790473
2.5,5.019201
1.75,4.6773086
2.25,4.9649587
2.25,4.9606404
2.0,4.937404
3.25,5.4824553
1.25,4.57882
1.75,4.5217333
2.75,5.1345797
1.25,4.473664
3.5,5.4459763
3.5,5.555754
1.25,4.4663935
1.5,4.509646
2.5,4.996984
1.75,4.7347064
1.75,4.795775
1.75,4.784771
2.0,4.8134894
1.75,4.7154245
2.25,4.9388094
1.5,4.615607
2.0,4.785954
2.0,4.8234205
1.75,4.6536374
3.0,5.303528
1.0,4.4506264
1.5,4.617017
2.25,5.0079446
1.0,4.3996325
3.25,5.3946056
3.0,5.1269574
1.0,4.4123893
1.25,4.4303856
2.25,4.8155107
1.5,4.71649
1.5,4.4913006
1.5,4.713516
1.75,4.8028536
1.5,4.629508
2.0,4.7058153
1.25,4.476171
1.75,4.7163715
1.75,4.821216
1.5,4.6538944
2.75,5.2009745
0.75,4.1984935
1.25,4.496663
2.0,4.7533216
0.75,4.270844
3.0,5.26629
2.75,5.1029043
0.75,4.3007455
1.25,4.463369
2.0,4.840281
1.5,4.574638
1.5,4.527369
1.25,4.435546
1.5,4.5651946
1.5,4.6413455
1.75,4.6844187
1.0,4.43484
1.5,4.6181397
1.5,4.675514
1.25,4.4825125
2.5,4.9414163
0.75,4.2946854
1.0,4.292632
1.75,4.7083316
0.75,4.3410425
2.75,5.232858
2.5,5.0823402
