rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,700.4272,0.0,86.47772,20.599998,28.859041
2,682.2704,0.0,63.45423,19.100002,28.661303
3,665.68744,0.0,29.887854,18.3,30.5307
4,664.75635,0.0,27.905918,19.0,27.897495
5,658.21027,0.0,48.92851,19.399998,32.342365
6,657.1363,0.0,49.792267,18.400002,27.738731
7,655.2134,0.0,49.272152,21.300001,28.88635
8,651.5343,0.0,66.46575,19.899998,26.539116
9,651.15326,0.0,44.233303,18.2,27.489758
10,650.1475,0.0,78.121544,19.9,29.570616
11,647.85046,0.0,46.970104,20.099998,30.478436
12,646.53973,0.0,52.67993,18.699997,25.770756
13,645.3548,0.0,47.95031,20.4,25.747568
14,645.35065,0.0,66.64478,20.2,30.61455
15,643.0261,0.0,63.36877,20.699999,25.822649
16,640.9683,0.0,46.231815,17.800001,30.709875
17,638.24115,0.0,39.789753,18.2,27.6317
18,637.5014,0.0,63.990776,19.1,26.662916
19,634.23517,0.0,55.184677,18.700003,34.258423
20,633.2628,0.0,48.81858,18.999998,25.401201
21,632.93274,0.0,39.17441,20.2,28.754446
22,631.88245,0.0,62.300777,18.4,29.683697
23,630.2727,0.0,39.19604,19.5,29.962975
24,630.26965,0.0,38.615803,17.300001,27.338276
25,630.12787,0.0,50.79537,17.2,29.8751
26,629.89453,0.0,36.15734,17.4,29.140257
27,627.34875,0.0,23.490437,19.400002,30.83508
28,627.02606,0.0,38.607468,20.1,25.205244
29,625.01874,0.0,27.91045,19.1,26.529593
30,624.2749,0.0,78.86165,19.5,29.423075
31,624.2512,0.0,47.20241,19.0,25.79913
32,623.9882,0.0,37.00533,19.2,25.341478
33,623.85236,0.0,56.58944,19.299997,33.512836
34,622.45795,0.0,62.795513,17.899998,26.946775
35,622.233,0.0,65.25523,19.3,28.877989
36,620.25995,0.0,60.566654,19.8,25.169344
37,619.2622,0.0,53.80777,18.599998,30.1476
38,617.9753,0.0,59.448296,19.199999,29.897429
39,617.3835,0.0,58.069973,18.4,28.572592
40,617.34564,0.0,56.485832,20.000002,32.313004
41,616.6059,0.0,47.283527,19.1,32.890526
42,615.0887,0.0,81.49295,20.5,30.493916
43,614.9173,0.0,78.25456,19.400002,28.885775
44,614.6069,0.0,53.07019,18.499998,28.411587
45,614.5169,0.0,55.870106,19.0,27.435211
46,613.97327,0.0,21.363813,18.3,30.719358
47,613.9499,0.0,45.369556,19.199999,32.517395
48,610.6785,0.0,54.011765,18.300001,33.869503
