rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,530.3369,0.0,62.38167,17.800001,37.3187
2,513.32446,0.0,93.398544,20.5,35.28306
3,512.2599,0.0,48.9893,18.400002,32.887726
4,504.5188,0.0,42.783268,19.999998,33.970055
5,501.78766,0.0,45.218655,17.6,30.390306
6,500.54892,0.0,66.239426,20.099998,38.949074
7,493.34082,0.0,49.850166,19.2,37.21132
8,491.88885,0.0,58.018303,21.699999,33.88327
9,491.2709,0.0,47.44887,19.8,33.467155
10,488.2866,0.0,49.716206,18.6,39.246353
11,487.9283,0.0,56.25652,21.099998,42.46683
12,487.79422,0.0,55.749092,18.900002,35.65448
13,486.1304,0.0,36.816994,18.799997,35.40922
14,484.98514,0.0,60.42832,20.8,42.701828
15,484.58408,0.0,36.915882,18.1,38.108746
16,483.12,0.0,50.534523,19.6,31.379719
17,480.52612,0.0,56.20522,19.300001,35.0538
18,478.1856,0.0,69.24785,19.0,35.945385
19,478.04913,0.0,39.01076,19.400002,35.17569
20,476.13763,0.0,29.032465,18.4,40.520546
21,475.30096,0.0,78.74753,21.7,35.10285
22,474.80255,0.0,62.18329,19.300001,38.47052
23,474.6011,0.0,64.059456,19.3,34.886246
24,473.7057,0.0,62.259834,18.3,35.954884
25,472.66177,0.0,57.643333,18.3,37.571228
26,471.47867,0.0,45.169838,20.100002,33.49775
27,470.54196,0.0,54.472527,18.2,35.38342
28,470.23688,0.0,46.660187,19.2,39.337574
29,470.2312,0.0,44.054913,18.0,38.79347
30,470.19116,0.0,76.50543,18.5,37.076214
31,470.1894,0.0,72.64154,19.300001,37.377174
32,469.8459,0.0,50.08437,18.500002,34.261784
33,469.01028,0.0,51.63467,18.599998,35.020702
34,468.79657,0.0,56.495064,17.900002,37.05198
35,466.9834,0.0,42.071396,18.800001,34.159184
36,466.83353,0.0,18.711018,18.9,42.714344
37,466.66565,0.0,39.88418,17.5,36.11881
38,465.2582,0.0,39.98906,18.4,36.251907
39,464.77875,0.0,51.01026,18.9,33.763718
40,464.36514,0.0,35.817482,19.3,37.935223
41,463.61346,0.0,29.540615,17.5,41.610466
42,462.69415,0.0,47.89801,19.2,32.08904
43,462.43457,0.0,53.48131,18.1,35.51691
44,462.17557,0.0,65.41774,17.800001,36.601986
45,461.88983,0.0,66.91689,18.899998,34.193256
46,461.84985,0.0,45.900253,18.400002,34.479004
47,461.523,0.0,47.8878,18.800003,37.337444
48,461.0912,0.0,65.60169,19.599998,37.10556
49,461.03665,0.0,38.60669,18.2,38.038208
50,460.94434,0.0,27.607725,19.299997,41.005703
51,459.94885,0.0,54.86441,18.999998,37.0409
52,459.49478,0.0,41.769276,18.4,38.059837
53,459.18893,0.0,42.040913,19.500002,38.706284
54,459.10327,0.0,45.502796,17.099998,35.112457
55,458.88135,0.0,73.07297,19.5,32.056755
56,458.13705,0.0,48.501358,18.999998,34.498547
57,458.05936,0.0,74.123344,20.699999,35.853897
58,457.39136,0.0,57.852146,19.3,31.611153
59,456.62292,0.0,64.85153,20.4,32.97739
60,456.55496,0.0,36.345707,18.300001,35.17997
61,456.0159,0.0,57.067802,19.3,41.422054
62,455.5659,0.0,39.48777,18.3,33.520164
63,455.03897,0.0,52.333927,18.5,32.94927
64,454.91275,0.0,63.09943,20.800001,32.848465
65,454.02673,0.0,53.81405,19.0,33.85475
66,453.73788,0.0,54.23851,20.100002,40.707764
67,453.51318,0.0,53.14084,18.300001,35.58795
68,453.21655,0.0,39.384243,19.800001,36.669647
69,451.84564,0.0,45.44076,19.599998,33.978725
70,451.16837,0.0,75.435555,20.199999,31.44065
71,450.8244,0.0,67.77343,20.099998,38.98522
72,450.46066,0.0,72.81795,19.8,32.079144
73,450.33337,0.0,40.030697,17.199999,32.801502
74,450.30353,0.0,62.371902,20.5,34.92449
75,449.46515,0.0,55.154095,17.9,43.53406
76,449.1033,0.0,37.0163,18.9,35.7922
77,447.90323,0.0,35.761433,19.0,35.17543
78,447.64575,0.0,50.89631,18.999998,34.935547
79,447.39078,0.0,52.752205,19.9,33.298084
80,447.32227,0.0,30.586031,20.800001,37.279068
81,446.73856,0.0,71.09866,18.6,37.119644
82,445.8348,0.0,62.50601,19.499998,36.561115
83,445.28305,0.0,60.95791,18.6,35.29762
84,444.88553,0.0,43.133625,18.400002,36.04707
85,444.80392,0.0,64.22722,17.600002,35.93449
86,444.52057,0.0,36.581966,18.5,35.93456
87,444.5143,0.0,35.594173,18.199999,41.95656
88,444.3626,0.0,53.982475,18.0,38.592445
89,444.0223,0.0,56.85979,19.8,34.129356
90,443.85635,0.0,66.78077,20.999998,35.858418
91,443.83896,0.0,62.485275,20.900002,34.151237
92,443.6632,0.0,56.997753,19.400002,35.099476
93,443.6604,0.0,55.548958,19.4,33.638275
94,443.48474,0.0,66.10838,19.499998,35.07199
95,443.0782,0.0,52.408535,19.900002,31.427395
96,442.66632,0.0,35.098137,18.500002,40.738213
97,442.20776,0.0,51.888237,19.6,34.440926
98,441.30026,0.0,31.41053,18.0,37.124382
99,441.20786,0.0,46.24124,18.4,33.828568
100,441.13815,0.0,46.30102,18.6,37.95501
101,440.71725,0.0,55.508194,20.399998,34.60479
102,440.5689,0.0,34.15747,17.2,36.800682
103,440.55298,0.0,29.366123,17.5,37.94899
104,440.4976,0.0,31.492754,19.699999,37.218597
105,440.44452,0.0,36.887764,19.100002,42.11163
106,440.2293,0.0,39.276115,19.400002,36.377106
107,439.9347,0.0,34.497593,18.199999,37.184193
108,439.55212,0.0,51.107075,19.100002,35.63321
109,439.45206,0.0,28.382195,18.199999,39.335476
110,439.44736,0.0,56.070454,19.199999,40.27462
111,439.19147,0.0,54.751053,18.999998,35.666393
112,438.92935,0.0,50.779106,19.999998,39.613358
113,438.68698,0.0,50.637924,19.799997,36.394993
114,438.31998,0.0,60.18862,19.5,29.476398
115,438.25772,0.0,36.253883,18.3,35.435627
116,438.1963,0.0,47.030617,17.599997,38.372562
117,438.0559,0.0,56.97461,18.7,34.85103
118,438.00696,0.0,29.008934,18.6,32.68871
119,437.78714,0.0,72.13422,18.699999,36.887234
120,437.38898,0.0,53.931465,20.300003,39.286488
121,437.26392,0.0,41.86211,19.699999,40.37033
122,437.17078,0.0,47.82962,18.3,35.376026
123,437.09128,0.0,48.187813,20.199997,31.905165
124,436.8564,0.0,42.330578,19.000002,41.692257
125,436.79263,0.0,23.563929,17.400002,38.463882
126,436.76413,0.0,37.545364,17.800001,35.21702
127,436.73572,0.0,41.942894,20.500002,34.458008
128,436.4092,0.0,42.53724,17.2,38.811
129,436.30908,0.0,59.859825,17.199999,35.819603
130,436.28436,0.0,76.883965,19.4,34.095997
131,436.10965,0.0,44.15527,20.4,38.13231
132,436.0275,0.0,57.602585,19.600002,36.14735
133,435.91315,0.0,20.531734,17.8,38.131344
134,435.81857,0.0,57.368763,19.2,33.94904
135,435.44702,0.0,39.915016,19.9,33.457527
136,435.13583,0.0,44.221878,16.900002,34.41122
137,435.1312,0.0,37.843056,20.2,39.873528
138,434.98254,0.0,56.116882,19.499998,36.36112
139,434.84067,0.0,55.80948,16.300001,35.432705
140,434.49832,0.0,33.415977,17.9,36.580853
141,434.40247,0.0,46.505005,18.000002,32.19457
142,434.3056,0.0,48.202824,16.800001,33.367
143,434.29877,0.0,48.096222,20.300001,32.877377
144,434.23923,0.0,33.893776,17.900002,41.672894
145,434.231,0.0,28.369577,18.1,40.8687
146,433.88455,0.0,32.013313,19.0,33.847275
