rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,458.2198,0.0,52.38649,17.4,28.319565
2,455.81393,0.0,50.011276,19.699999,31.232294
3,447.55145,0.0,48.54152,18.699999,35.7086
4,446.51752,0.0,70.52313,19.400002,30.44576
5,445.92694,0.0,54.79729,19.8,32.528072
6,443.31122,0.0,97.23532,19.099998,29.644659
7,438.4981,0.0,51.14257,19.5,29.759174
8,431.04874,0.0,43.77807,18.6,32.38303
9,430.2768,0.0,61.537746,18.100002,28.678251
10,427.6853,0.0,41.03244,19.1,34.21167
11,423.96793,0.0,56.426373,18.8,39.20869
12,423.2211,0.0,42.049618,18.8,32.88195
13,420.46176,0.0,54.52185,20.999998,30.263357
14,420.02432,0.0,67.973526,17.600002,30.950134
15,419.50455,0.0,55.372585,18.6,38.192226
16,418.2667,0.0,66.930664,19.000002,31.479725
17,417.9339,0.0,32.754288,21.7,30.010277
18,417.89,0.0,61.830105,18.700003,30.680557
19,417.70383,0.0,68.24098,17.8,34.21357
20,417.00577,0.0,61.69875,19.300001,32.64842
21,416.79788,0.0,50.34236,18.3,30.917597
22,416.5752,0.0,51.1386,17.900002,38.470383
23,416.46524,0.0,38.170563,18.2,40.451267
24,415.0606,0.0,52.11498,18.1,34.67466
25,414.51263,0.0,30.896627,17.900002,33.881012
26,414.47098,0.0,42.33909,18.3,36.3152
27,413.01367,0.0,37.423603,19.5,38.78193
28,412.53116,0.0,79.87576,18.599998,30.16202
29,412.48013,0.0,67.77959,20.799997,33.350735
30,411.72906,0.0,52.863434,17.8,33.176292
31,410.29095,0.0,54.500893,19.300001,32.803383
32,409.92288,0.0,49.285896,16.699999,27.060577
33,407.34576,0.0,52.482315,18.0,31.52647
34,406.1115,0.0,74.38756,19.5,32.830338
35,404.3408,0.0,51.155872,17.899998,28.677309
36,404.2973,0.0,49.421734,18.1,26.44934
37,404.2243,0.0,79.01762,18.999998,33.06327
38,403.83646,0.0,51.73399,20.100002,28.84615
39,403.71213,0.0,44.854366,20.8,30.607948
40,403.0327,0.0,64.226425,19.099998,32.456333
41,402.76355,0.0,63.428307,20.5,35.302166
42,402.56317,0.0,58.458195,19.6,33.40262
43,402.53976,0.0,58.71163,18.4,30.196604
44,402.08865,0.0,27.59733,18.199999,36.682735
45,401.89554,0.0,54.412434,17.8,34.01553
46,400.73672,0.0,49.254723,18.599998,37.426167
47,399.92932,0.0,58.10425,19.3,31.23752
48,399.38785,0.0,57.440582,18.699999,31.532648
49,399.18927,0.0,34.67227,18.0,26.224995
50,399.1559,0.0,72.41024,19.099998,30.183655
51,399.04187,0.0,49.985363,18.3,32.989166
52,398.91885,0.0,57.41067,19.400002,32.804367
53,398.66965,0.0,50.690063,19.400002,31.030712
54,396.91434,0.0,42.70952,19.5,28.42322
55,396.7324,0.0,42.261234,19.1,37.42887
56,396.59152,0.0,64.58873,17.3,35.50457
57,396.55753,0.0,61.977585,19.300001,31.9036
58,396.45187,0.0,38.088764,18.800001,34.839245
59,396.20084,0.0,38.45593,18.300001,36.108337
60,396.01935,0.0,39.873413,18.799997,30.437895
