rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,1014.69977,0.0,87.010284,20.8,19.528883
2,984.70087,0.0,61.57872,18.199999,15.698436
3,981.88214,0.0,85.456635,18.8,19.511847
4,978.72546,0.0,43.849174,18.899998,21.757582
5,977.73676,0.0,53.214783,19.4,17.112478
6,966.29626,0.0,69.73823,18.699999,16.514933
7,965.39636,0.0,64.67806,19.300001,17.585987
8,963.7867,0.0,86.11357,18.7,19.632925
9,963.40686,0.0,54.292995,19.800001,18.70089
10,961.5487,0.0,56.070763,19.599998,18.506582
11,961.2586,0.0,50.056427,20.2,20.291876
12,960.7998,0.0,52.720463,19.500002,19.833374
13,952.2207,0.0,61.04334,18.3,21.760792
14,949.4522,0.0,75.76029,19.299997,20.758764
15,946.94135,0.0,75.02163,19.4,18.015707
16,940.59546,0.0,60.706017,18.9,19.724356
17,939.86957,0.0,58.44034,18.2,21.872976
18,938.92395,0.0,55.295593,18.000002,21.161737
19,934.6931,0.0,46.40889,17.9,19.375471
20,934.31366,0.0,38.23055,19.700003,22.259743
21,934.3016,0.0,74.971176,20.3,23.324232
22,931.8194,0.0,63.03291,19.1,19.986578
23,930.8482,0.0,91.36683,19.700003,18.743391
24,930.47174,0.0,52.60554,17.2,16.871693
25,926.6902,0.0,31.512264,21.199999,18.59043
26,926.60126,0.0,81.204185,18.300001,21.080532
27,925.35004,0.0,58.64109,20.599998,15.738082
28,923.97406,0.0,62.714233,16.7,16.286905
29,923.153,0.0,60.211433,21.1,19.699623
30,922.1085,0.0,65.38523,19.1,18.48863
31,922.081,0.0,63.05997,18.699999,19.03904
32,920.4305,0.0,40.672882,19.599998,17.362806
33,919.6936,0.0,57.59508,18.599998,21.543493
34,919.64545,0.0,59.653366,19.1,15.821772
35,916.5582,0.0,60.989063,19.4,19.839428
36,916.3118,0.0,52.22427,19.4,17.177328
37,915.5927,0.0,37.543404,19.900002,21.71047
38,915.1899,0.0,74.10853,19.1,21.956345
39,914.9277,0.0,63.666473,18.699999,16.495823
40,912.98346,0.0,23.568678,17.8,17.350687
41,912.65686,0.0,42.948193,17.999998,19.13086
42,911.9851,0.0,52.784473,19.800001,17.389275
43,911.439,0.0,37.03745,17.999998,18.50946
44,911.35004,0.0,59.66843,18.5,19.630312
45,909.85626,0.0,52.580242,20.699999,20.55392
46,906.78156,0.0,59.053978,18.5,17.181677
47,906.6004,0.0,62.270058,18.9,19.917723
48,905.73303,0.0,43.058834,17.400002,22.457464
49,905.3539,0.0,63.72846,19.699999,21.151323
50,905.0376,0.0,62.63694,21.499998,18.343243
51,904.4691,0.0,43.36238,19.999998,19.592
52,903.66693,0.0,69.87384,19.300001,19.356127
53,901.7822,0.0,54.364132,17.700003,17.303259
54,899.9266,0.0,45.489716,18.3,20.064611
55,898.99457,0.0,48.768055,18.2,20.81629
56,898.1592,0.0,47.894722,19.100002,21.932951
57,898.1472,0.0,68.06553,18.9,22.676369
58,897.939,0.0,61.945473,19.1,20.174534
59,897.7701,0.0,54.837994,20.800001,18.90101
60,896.8739,0.0,48.949844,19.000002,19.098316
61,896.3172,0.0,53.23445,18.4,21.495457
62,895.48944,0.0,64.653046,19.700003,17.1395
63,895.40466,0.0,62.782337,18.300001,18.664988
64,895.35803,0.0,60.9432,18.3,12.461899
65,894.9876,0.0,48.535957,19.8,21.128542
66,893.5104,0.0,63.55719,18.000002,19.055317
67,893.3475,0.0,43.212494,18.400002,17.733915
68,892.6728,0.0,55.77696,19.900002,19.765675
69,892.56024,0.0,59.077988,20.2,23.204954
70,892.4265,0.0,61.648563,19.1,19.222118
71,891.5216,0.0,69.284294,19.099998,20.513384
72,890.6939,0.0,47.09743,19.300001,21.598692
73,888.80505,0.0,53.902637,18.9,23.35351
74,888.31836,0.0,74.063286,19.500002,17.001045
75,888.21045,0.0,69.396034,18.599998,21.341867
76,887.9865,0.0,49.627686,19.599998,17.14711
77,887.57983,0.0,53.587307,18.6,22.587463
78,886.30707,0.0,40.992252,17.999998,17.096018
79,884.7931,0.0,62.398994,18.0,20.538786
80,882.2508,0.0,49.749737,18.899998,19.242657
81,882.15106,0.0,79.348335,19.799997,17.899223
82,882.1262,0.0,53.190845,21.599998,20.146519
83,881.6692,0.0,63.70138,18.900002,19.409067
84,881.528,0.0,52.40916,17.7,18.324158
85,880.7403,0.0,43.61031,19.500002,21.06458
86,880.0697,0.0,44.744873,19.199999,17.05851
87,879.35516,0.0,33.046906,18.8,23.347471
88,879.2976,0.0,56.52078,18.099998,19.90047
89,878.8764,0.0,73.01989,19.699999,21.743362
90,878.5568,0.0,32.417816,19.300001,19.191349
91,877.9209,0.0,65.51162,18.2,17.502136
92,877.85706,0.0,40.785133,18.8,23.140772
93,877.5103,0.0,64.41869,20.099998,17.602398
94,877.1512,0.0,68.74036,20.600002,19.424492
95,877.0303,0.0,49.264416,19.9,21.382042
96,876.9454,0.0,64.40423,21.0,19.974573
97,876.9395,0.0,44.02153,17.199999,19.266937
98,876.63165,0.0,44.874306,18.7,22.120558
99,876.62415,0.0,69.67056,19.699999,16.086607
100,876.11163,0.0,33.282154,16.6,18.61077
101,875.46136,0.0,59.116203,19.4,18.75883
102,875.20996,0.0,35.292084,19.600002,22.519503
103,874.82184,0.0,64.1244,20.399998,21.201283
104,874.3418,0.0,72.05814,18.9,21.708965
105,874.1123,0.0,41.520306,18.7,19.644203
106,873.87506,0.0,55.992527,17.7,21.088303
107,873.54535,0.0,55.407063,18.500002,19.145163
108,872.8164,0.0,52.14362,20.300001,23.164627
109,872.3762,0.0,43.404736,21.000002,19.774288
110,872.12036,0.0,52.93516,19.300003,21.240717
111,871.7659,0.0,54.529766,17.3,22.355734
112,871.7441,0.0,71.336075,17.7,17.891748
113,870.80035,0.0,65.065735,19.900002,19.513683
114,870.5831,0.0,48.509434,19.300001,18.505613
115,870.5288,0.0,46.14074,18.699997,18.261553
116,870.2529,0.0,51.08886,20.599998,20.98245
117,870.0992,0.0,82.17271,19.499998,18.443216
