rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,22.575317,9.821777,10.120696,25.62799
2,20.582926,13.104492,6.0021276,19.99646
3,18.314407,3.7265625,14.1984005,19.848297
4,17.11992,9.550781,6.764621,21.009506
5,16.504599,12.621094,3.2825124,1.8261719
6,16.437075,6.057617,9.347441,17.896759
7,16.295351,6.3320312,8.208071,48.259796
8,15.885453,15.332764,0.5071255,6.1467896
9,15.472243,7.5388184,7.521356,10.582245
10,15.447831,7.934326,4.396672,15.684448
11,15.212717,9.580078,3.6462283,3.358368
12,14.801348,6.154297,8.513662,23.911469
13,14.201929,3.75,9.018784,22.189056
14,14.125224,9.748901,3.021007,27.638603
15,14.078142,11.56665,0.40174806,1.3765869
16,13.859859,7.7893066,4.591801,20.648682
17,13.522175,3.8016357,9.112888,9.915756
18,13.423758,5.020996,6.390159,2.7034607
19,13.422003,2.86438,7.988854,29.116257
20,13.405866,12.912445,0.0091676675,30.90033
21,13.307776,11.518311,0.15732418,1.1989746
22,13.041999,11.717041,1.3194122,8.385315
23,13.031436,0.9316406,10.61848,14.58223
24,13.0235195,6.142578,5.629137,20.374298
25,12.318378,9.238281,2.7917142,11.566528
26,12.269479,6.2148438,4.7900357,12.875595
27,11.946509,2.480774,8.261801,11.25293
28,11.927269,6.515625,2.604353,0.72665405
29,11.859382,9.912109,0.6515319,13.901733
30,11.601716,3.5419922,4.2647276,5.356659
31,11.599664,10.991943,0.09472914,16.900818
32,11.519833,9.724121,0.49324703,4.0413666
33,11.363191,11.153076,0.011274609,2.9413757
34,11.354365,9.467773,0.6215407,6.1632385
35,11.2330265,2.5317383,8.150518,24.04573
36,10.954679,3.8450317,6.0367584,12.924103
37,10.918872,3.722168,6.4012218,27.124298
38,10.828792,8.34433,0.14886732,13.712654
39,10.722866,6.3710938,3.7145944,5.901535
40,10.705796,7.677246,1.702224,2.3214111
41,10.482542,9.577637,0.037604302,2.9083252
42,10.446713,7.9299316,1.0003173,6.540497
43,10.331813,2.7087402,6.3940864,2.2584229
44,10.228396,0.0,9.634376,22.610962
45,10.02478,1.6728516,7.8201013,14.673309
46,9.992176,3.6430664,3.1443126,14.874908
47,9.944036,7.6245117,0.0,0.0
48,9.786485,2.0911865,5.136341,5.434128
49,9.7790575,0.9008789,6.6663065,12.158539
50,9.695391,7.9628906,0.68821067,6.8327637
51,9.684718,4.7475586,4.7088966,6.1663513
52,9.645996,3.5610352,4.6502113,14.703491
53,9.579149,4.9851074,3.3267581,12.167236
54,9.492679,7.9299316,0.101675585,6.0751038
55,9.488873,6.4921875,0.0,0.0
56,9.372056,1.6503906,6.991374,16.263916
57,9.268471,1.6220703,6.2683406,17.052979
58,9.267068,7.134033,0.0,7.8623047
59,9.105429,0.4951172,8.593594,14.991669
60,9.051917,8.105713,2.2633893E-4,3.906372
61,9.021707,0.0,4.5641623,18.702728
62,8.914701,4.76828,2.6199956,12.903809
63,8.8322,3.5390625,3.7083712,7.3497925
64,8.803828,6.1289062,0.0,0.0
65,8.7049675,0.4321289,8.109076,11.97168
66,8.628815,4.810791,3.3763366,20.748016
67,8.6154,3.6386719,2.3293223,14.720795
68,8.592139,6.3398438,0.0,0.0
69,8.554149,0.98876953,6.6994867,21.918823
70,8.4939375,4.7612305,1.3601445,1.7563477
71,8.340249,3.928711,2.126139,14.822266
72,8.164125,1.6328125,5.9631777,11.07666
73,8.047158,6.373047,0.34605625,8.018311
74,8.023795,6.279297,0.3948461,5.0750427
75,8.009559,5.010742,2.9954965,6.571686
76,7.9635935,1.6269531,2.0230072,19.54773
77,7.935473,0.42773438,7.4294953,47.405853
78,7.860636,0.10888672,6.183909,19.37027
79,7.854146,5.0756836,1.8061569,8.401337
80,7.8292465,0.10888672,6.2758145,9.893158
81,7.821949,6.5410156,0.8222015,11.650635
82,7.698049,6.140625,0.051526718,0.46591187
83,7.657053,0.92871094,5.75448,1.8547821
84,7.6326017,7.219818,0.1839532,16.342087
85,7.602749,2.5231934,2.3483248,5.4572144
86,7.1964917,5.673401,1.0602458,21.127808
87,7.155308,3.5698242,2.6434572,8.9010315
88,7.1162457,6.6552124,0.2399239,14.110153
89,7.1144276,1.6484375,4.241228,14.754913
90,7.094828,5.020996,0.81635076,3.4535828
91,7.0834875,0.55096436,5.6471834,11.315613
92,7.0810547,0.11685181,5.3368435,13.125366
93,6.9926233,3.7954102,2.397164,1.6854858
94,6.9815407,4.810791,0.0,0.0
95,6.969295,4.1786194,0.63572806,17.223549
96,6.959262,0.6046753,2.9587169,29.034706
97,6.9447575,6.5820312,0.04542074,4.6809998
98,6.9395094,5.2072754,1.0131264,12.10611
99,6.9157577,4.824463,0.8162704,14.914551
100,6.860842,3.0888367,1.8339944,38.46939
101,6.8439207,0.9014282,4.0804644,18.052002
102,6.7963357,1.6865234,2.3707619,2.0618896
103,6.729046,0.0,3.6217387,20.992004
104,6.727045,0.0,5.368863,2.8261414
105,6.701207,0.9470215,5.4976354,3.4987793
106,6.6830997,4.367218,0.36661816,9.213043
107,6.6791196,6.165283,0.43076375,9.147423
108,6.636402,6.4726562,0.0,0.0
109,6.6344976,4.814209,0.0,0.0
110,6.597636,1.6630859,1.9404854,3.7499695
111,6.568003,6.162842,0.07139276,5.3893433
112,6.487047,3.5112305,0.029288536,2.6655731
