rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,16.070847,15.2677,0.5866381,5.6240387
2,15.174822,0.90444946,13.790503,19.10965
3,13.704069,9.959717,0.4433407,3.410492
4,13.622276,11.2282715,7.544519E-6,3.8240662
5,13.226576,11.053711,0.0,0.0
6,13.035207,7.901367,1.5559759,0.9532013
7,12.502293,9.284668,2.942122,1.0372314
8,12.249972,3.6079102,3.0115361,10.101486
9,11.923973,11.290039,0.0,0.0
10,11.884804,8.034668,0.49485087,7.4983063
11,11.756739,6.8378906,3.425103,5.536499
12,11.72075,7.8951874,2.5197508,9.111145
13,11.640634,7.5388184,2.5891712,1.5290833
14,11.537505,7.817871,1.5247467,3.532608
15,11.453252,9.138184,0.0,0.0
16,11.440466,0.9279785,9.87941,9.59166
17,11.334444,9.406738,1.2755704,7.5943604
18,10.880623,7.7233887,1.8709667,2.3532867
19,10.840281,6.4648438,3.2834783,8.664795
20,10.835291,9.494629,0.0,0.0
21,10.77538,10.021973,0.001282434,7.8479004
22,10.722925,6.154297,3.176033,4.6593018
23,10.618429,4.713379,5.1275845,3.57872
24,10.577269,6.1120605,0.9012149,3.188095
25,10.4669,6.114258,3.002626,3.4119415
26,10.408894,9.697266,0.0,0.0
27,10.374217,3.645996,5.844965,11.436432
28,10.15734,8.138672,0.0,0.0
29,9.928709,6.392578,0.0,0.0
30,9.762405,4.8945312,0.08158528,5.6472473
31,9.386717,3.6123047,5.463518,6.5350494
32,9.35775,7.5893555,0.0,0.0
33,9.273329,3.4188843,4.4341755,7.0632095
34,9.054262,6.263672,0.34864953,3.8973083
35,9.020512,3.6621094,3.9258628,5.820877
36,8.954846,7.6992188,0.0,0.0
37,8.922705,6.4384766,0.9557136,4.192993
38,8.898425,6.131836,0.0,0.0
39,8.8397665,4.699707,0.0,0.0
40,8.8215275,4.6518555,0.0,0.0
41,8.7408905,7.7387695,0.0,0.0
42,8.711477,6.2216797,0.0,0.0
43,8.60476,6.28125,1.6776484,2.6300812
44,8.5675955,7.409424,0.0,10.461365
45,8.387711,2.5476074,4.737224,11.397079
46,8.341593,0.10424805,5.883468,6.2660675
47,8.267811,4.8586426,0.0,0.0
48,8.247407,6.171875,0.20492296,3.6750183
49,8.093973,0.43115234,1.0761622,9.701637
50,7.957033,0.95654297,6.236232,5.131836
51,7.9504595,3.8291016,0.6722014,8.134766
52,7.92123,7.8028564,0.0,7.1696777
53,7.916913,6.6341553,0.0,4.1119385
54,7.886078,2.4194336,0.0,0.0
55,7.830277,6.149414,0.0,0.0
56,7.6834207,6.3476562,0.35937214,6.990387
57,7.2930703,0.94189453,0.0,0.0
58,7.261597,0.0,4.587466,7.920868
59,7.181131,2.454834,4.6970983,14.187286
60,7.1229353,4.8945312,0.9620341,0.84187317
61,6.970189,4.920166,0.054438345,2.6684875
62,6.8765955,6.28125,0.21691707,2.3979492
63,6.8195376,4.788574,0.0,0.0
64,6.8001466,3.5881348,0.0,0.0
65,6.748596,2.4645996,0.06411879,2.586914
66,6.7472925,4.7851562,0.0,0.0
67,6.736525,0.47558594,4.6485486,4.0536804
68,6.7272596,4.9936523,0.0,0.0
69,6.7237124,3.6621094,0.06001223,6.177765
70,6.6850924,3.7807617,2.5397363,2.4750366
71,6.62788,4.956909,0.0,0.0
72,6.626907,3.871582,0.0,0.0
73,6.548806,4.9953613,0.0,0.0
74,6.5155554,3.7250977,0.0,0.0
75,6.4815373,6.03125,0.003059788,3.6231995
76,6.436355,6.330078,0.0,0.0
77,6.422963,2.4931335,1.7587726,1.2579346
78,6.373952,4.791992,0.0,0.0
79,6.292935,0.42285156,5.6513915,8.050491
80,6.277059,4.945694,0.0,5.274994
81,6.2500496,3.7631836,1.9383904,7.9273987
82,6.2176976,1.0497894,0.5725412,1.0392456
83,6.1927795,1.6513672,4.063962,6.933136
84,6.0839167,4.701416,0.0,0.0
85,6.0488286,4.93042,0.0,0.0
86,6.0226793,3.6811523,0.7937348,0.47164917
87,6.0154085,3.609375,0.052624706,2.3271484
88,5.9761558,2.6568604,0.0,0.0
89,5.913804,0.43603516,3.302974,1.5966187
90,5.8692503,0.9064636,0.0,0.0
91,5.8530793,4.8466797,0.003457501,7.345581
92,5.8023458,0.41235352,0.0,0.0
93,5.7471886,0.89501953,0.0,0.0
94,5.747072,1.6572266,1.8654473,3.6665497
95,5.732412,4.9560547,0.0,0.0
96,5.7323685,4.945801,0.018792134,5.3160095
97,5.701002,3.5427246,0.0,0.0
98,5.6431837,0.41577148,2.1656432,4.6295013
99,5.6425877,3.4511719,0.7042511,2.9000244
100,5.613316,4.7244873,0.0,0.0
101,5.57976,5.1013184,0.118682005,1.939621
102,5.5445137,4.4049835,0.38166538,7.4604645
103,5.389723,4.6723633,0.031371098,2.2517395
104,5.2924976,0.93969727,0.0,0.0
105,5.272415,4.7407227,0.0,0.0
106,5.248394,3.8665009,0.0,2.87323
107,5.189882,2.653656,1.4518676,8.585609
108,5.174161,0.42333984,0.0,0.0
109,5.1642823,0.0,0.0018539093,2.6437683
110,5.1309986,3.831482,1.0961437,4.968231
111,5.0803027,0.92871094,0.0,0.0
112,5.0729055,0.9345703,0.0,0.0
113,5.068201,1.6123047,2.6968913,3.0662842
114,5.0469675,0.0,1.9500835,6.1621704
115,5.028419,2.503662,0.09013794,6.569458
116,5.0271525,0.10583496,0.0,0.0
117,4.9993124,2.631836,0.09159154,3.8748016
118,4.897774,3.7236328,0.0,0.0
119,4.839521,0.9279785,0.0,0.0
120,4.783512,0.0,0.0,0.0
121,4.776549,2.4621582,0.0,0.0
122,4.705962,2.5891113,0.01862974,2.3462677
123,4.665887,3.553711,0.0574682,1.27594
124,4.580632,1.6611328,0.0,0.0
125,4.514277,2.5982666,0.0,0.0
126,4.472369,2.0491943,0.15582262,6.349571
127,4.4718165,2.480011,0.0,0.0
128,4.4011164,0.92285156,0.0,0.0
129,4.3476834,3.7353516,0.0,0.0
130,4.3329706,0.4116211,0.9821316,3.4467773
131,4.3233705,0.0,4.100504,4.3692627
132,4.3199587,0.4453125,0.0,0.0
133,4.3074656,2.5567627,1.416,5.3304443
134,4.2901073,1.5996094,0.0,0.0
135,4.249365,2.541504,0.0,0.0
136,4.249287,3.6064453,0.0,0.0
137,4.2228713,1.0756531,0.0676056,6.7530365
138,4.218633,0.18405151,8.4587454E-4,1.7827454
139,4.1367016,1.6835938,1.1397886,7.796707
140,4.1299043,0.9316406,0.96096724,1.2835999
141,4.0552373,1.0215912,0.012486826,10.661499
142,4.0525246,2.684784,0.87562525,6.8151703
143,4.044229,0.0,2.1683147,5.655861
144,4.0332103,0.10498047,3.5714908,9.624023
145,3.9920578,0.42333984,3.5080652,3.147255
146,3.956741,1.6044922,0.0,0.0
147,3.939069,2.4884033,0.0,0.0
148,3.8657541,1.6030273,0.66837984,6.798439
149,3.8223596,0.10595703,0.0,0.0
150,3.78649,0.104156494,3.3105774,1.9158936
151,3.7650049,1.5791016,2.1642427,2.2642975
152,3.7624938,2.572403,0.24134223,5.069092
153,3.7305505,2.5531006,0.0042331414,0.8237686
154,3.7104726,2.4621582,0.0,0.0
155,3.6975763,2.4700928,0.5028474,10.905304
156,3.6857362,0.98117065,2.05611,13.653099
157,3.6492925,0.10864258,2.9730477,13.713989
158,3.6107585,1.6937256,0.11209662,7.15007
159,3.5802002,1.6298828,0.0,0.0
160,3.4907715,0.40716553,1.8354015,5.3888397
161,3.466948,0.41235352,0.0,0.0
162,3.4630165,1.6289062,0.07313017,0.59710693
163,3.4604566,2.4549103,0.60081506,4.1557617
164,3.4461117,0.9609375,0.0,0.0
165,3.4439983,0.94729614,2.437122,8.200104
166,3.3734531,0.10913086,0.0,0.0
167,3.3380163,0.87597656,0.0,0.0
168,3.3350346,2.4719238,0.5669181,4.2521667
169,3.3286386,2.5561523,0.009586632,2.3381348
170,3.3257358,1.6435547,0.080718264,3.104782
171,3.2967029,2.557373,0.0,0.0
172,3.2910485,0.0,0.0,0.0
173,3.2607791,0.42871094,0.0,0.0
174,3.258544,1.59375,0.0,0.0
175,3.2554526,0.10424805,3.1201615,4.301193
176,3.250114,2.5769043,0.26352933,14.230209
177,3.245761,0.41992188,2.3096528,4.671295
178,3.240759,2.498932,0.0,0.0
179,3.2285995,0.0,0.0,0.0
180,3.2033951,1.7373047,0.0,0.0
181,3.1569934,1.2391205,0.43743753,6.0330353
182,3.1238685,0.1071167,1.9501653,3.7467346
183,3.1075351,0.9177246,0.087647595,1.5636444
184,3.106151,0.10839844,0.0,0.0
185,2.9898582,0.41375732,1.8733983,13.096283
186,2.9426503,0.4571228,0.22809131,3.2258606
187,2.8406682,2.5274658,0.15659374,5.8877106
188,2.83485,0.0,0.0,0.0
189,2.7821698,1.6328125,0.3215649,2.3045654
190,2.7090352,1.7539062,0.2809632,16.214485
191,2.6731791,1.6894531,0.27042055,7.5342865
192,2.6688826,2.4316406,3.5628706E-4,4.4471893
193,2.6640687,0.4189453,0.42909867,16.292084
194,2.646958,0.10571289,0.0,0.0
195,2.640326,0.9916992,0.0,0.0
196,2.5734954,0.10731506,0.0,0.0
197,2.5378914,1.6835938,0.12235622,2.3227844
198,2.5304396,1.6494141,0.33999607,1.7733765
199,2.489861,0.9038086,0.0,0.0
200,2.4618335,0.42089844,1.6799893,7.969574
201,2.4368806,1.6523438,0.0,0.0
202,2.4050648,0.9470215,0.0,0.0
203,2.393489,0.43310547,0.0,0.0
204,2.3927572,0.0,0.31965896,1.0125046
205,2.3810122,0.43554688,0.005549106,5.1006775
206,2.3641448,0.4116211,0.0,0.0
207,2.3619194,0.43310547,0.25724345,0.58543396
208,2.3438144,0.115234375,1.4058632,1.9864502
209,2.321041,0.4091797,0.069367036,1.020752
210,2.3138971,0.0,0.6059656,7.741516
211,2.298761,0.0,0.09155218,11.998352
212,2.2782865,0.42089844,0.0,0.0
213,2.271212,1.6484375,0.0061710114,2.26326
214,2.2689295,0.0,0.092914395,1.5401917
215,2.2449772,0.4116516,0.0,0.0
