rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,19.58952,6.251953,12.814114,10.775528
2,18.108109,13.643555,0.0,0.0
3,16.88865,16.624512,0.021397203,5.3115234
4,16.288296,11.63916,1.5048167,3.5576782
5,15.90243,6.0771484,5.56061,3.8507996
6,15.732013,14.983643,0.08075553,1.638031
7,14.63989,8.2265625,5.0032053,3.1529388
8,14.301555,13.772461,0.0821677,1.9080353
9,14.281591,13.108887,0.6904275,9.774399
10,14.216485,11.502197,0.195067,3.0566254
11,14.205561,11.582764,0.0,0.0
12,13.7989855,11.565308,0.0,0.0
13,13.682658,9.606934,3.1879866,14.753616
14,13.347304,7.9310303,0.0,0.0
15,12.92647,7.784912,0.0,0.0
16,12.499958,4.8706055,6.7179427,4.586914
17,12.319688,11.6727295,0.0,0.0
18,11.62994,3.46875,6.4512625,7.856529
19,11.619536,9.462891,0.19388676,2.9741516
20,11.583922,7.982666,0.0,0.0
21,10.853591,6.1679688,2.2822106,5.157982
22,10.594999,6.2714844,4.0581384,1.659317
23,10.433537,6.156006,0.77887094,0.7364502
24,10.416956,2.757492,6.556635,11.058746
25,10.26115,7.8618164,0.0,0.0
26,10.224737,7.934326,0.0,0.0
27,10.156191,9.42749,0.2224862,5.9450684
28,9.9807625,0.9580078,8.931614,5.3059845
29,9.832649,7.578369,7.1735616E-4,2.485878
30,9.756753,7.9002686,0.0,0.0
31,9.669968,7.748932,0.0,0.0
32,9.479941,4.9124756,0.0,0.0
33,9.449448,6.1445312,0.0,0.0
34,9.259054,4.8654785,3.8587098,4.20063
35,9.179356,0.10620117,7.6884084,8.88945
36,9.110026,0.0,8.949012,15.415192
37,9.106001,5.4667206,0.0,3.7147446
38,9.004077,8.057373,0.02842726,7.0098267
39,8.955007,4.8723145,3.5010843,3.0236206
40,8.793437,7.7750244,0.016822042,3.3211975
41,8.686871,4.7441406,2.2890422,11.4058
42,8.619944,3.5910645,2.177246,2.8920746
43,8.616923,3.5841064,0.0,0.0
44,8.600025,0.41503906,8.091244,7.758087
45,8.48869,0.4239502,5.672406,5.6306
46,8.483479,6.279297,0.0,0.0
47,8.475874,4.8518066,0.0,0.0
48,8.392786,6.376953,0.19705594,3.2923508
49,8.348523,7.816223,0.017182251,2.932724
50,8.33052,7.998047,0.0072184745,4.3032227
51,8.269183,6.345703,0.4289804,4.05249
52,8.259684,3.590332,0.0,0.0
53,8.247592,4.8859863,1.7639548,2.9725342
54,8.246495,0.0,4.5608196,4.083786
55,8.218329,5.9941406,0.225479,7.1642456
56,7.9788795,5.275635,0.07463136,9.044586
57,7.966779,1.6627197,3.1575804,1.6282959
58,7.8061967,1.6645508,4.0292487,7.4190674
59,7.7541533,3.7912903,0.007773367,7.6809235
60,7.6912704,6.3046875,0.020811658,3.1721497
61,7.5317755,3.6694336,0.0,0.0
62,7.5134706,4.8911133,0.031117547,5.3402557
63,7.4105864,0.9180908,2.267569,2.3746948
64,7.3072853,6.1054688,0.0,0.0
65,7.288051,1.7949829,2.9092019,11.486076
66,7.253416,6.1875,0.04357431,4.0167847
67,7.0405936,6.421875,0.59596497,1.498291
68,7.0302453,6.0117188,0.0021924046,4.79274
69,7.0060587,3.4682007,0.91255033,3.5910034
70,6.941366,6.423828,0.0,0.0
71,6.8961296,3.5961914,0.0,0.0
72,6.893898,0.4187317,0.0,0.0
73,6.8459435,2.7050781,0.16854936,1.3347015
74,6.806792,2.4797058,3.8597846,3.705185
75,6.752088,0.0,0.0,0.0
76,6.7115035,0.4321289,5.750115,3.0161133
77,6.637044,6.3310547,0.0074332748,3.1341553
78,6.606359,4.9645996,1.516987,1.177124
79,6.3859954,4.8253174,0.0,0.0
80,6.351176,3.6621094,0.0,0.0
81,6.3392487,4.777466,0.0,0.0
82,6.24163,5.012451,0.2646039,2.4534607
83,6.218063,1.5605469,0.0,0.0
84,6.1506867,1.6630859,2.9996095,3.3439636
85,6.083785,3.4907227,0.033333775,4.2554626
86,6.0717316,3.5983887,0.06571524,5.361374
87,6.0518975,3.661377,0.037541915,4.184372
