rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
138,3.6533084,0.10632324,0.0,0.0
139,3.631369,0.0,0.0,0.0
140,3.6212635,2.5402832,0.0,0.0
141,3.6133385,2.5043488,0.0,3.1664658
142,3.5839343,1.5703125,1.9018489,5.418915
143,3.5408118,0.9030304,0.0,0.0
144,3.4974966,1.7226562,0.0,0.0
145,3.4943929,0.6083069,1.7223411,2.8383636
146,3.4509404,0.109680176,0.0,0.0
147,3.432719,1.6334229,0.43714708,1.2179871
148,3.4010756,0.9376831,0.0,0.0
149,3.3844666,1.6484985,0.86549497,6.223007
150,3.376048,2.425537,0.0,0.0
151,3.346404,0.0,1.8694164,5.671295
152,3.2817378,0.41381836,1.8110046,2.9763565
153,3.2795486,0.0,3.014562,2.8948517
154,3.2750711,0.10876465,0.0,0.0
155,3.2519207,0.0,1.0151262,3.2367096
156,3.2514203,1.4736328,0.66934484,2.6517105
157,3.2486975,2.632904,0.08623939,3.3812256
158,3.240481,2.5,0.0,0.0
159,3.2357178,0.42520142,0.0,0.0
160,3.206606,0.1060791,0.0,0.0
161,3.159815,2.0756836,4.5052424E-5,7.793762
162,3.0787668,0.43395996,0.1806651,7.796921
163,3.053935,1.7734375,0.0,0.0
164,3.0375166,0.430542,0.8092676,3.3144073
165,3.0296092,2.47818,0.10901254,2.107315
166,3.0263076,1.5939331,0.0,0.0
167,3.0134637,1.6616211,0.21199164,3.122406
168,2.9951985,0.5767212,1.700424,4.677887
169,2.9903371,0.43359375,0.0054305443,0.5483093
170,2.9703436,0.0,0.0,0.0
171,2.938901,0.0,0.0,0.0
172,2.9323092,0.10412598,0.1467017,1.3407898
173,2.9273982,0.10266113,0.0,0.0
174,2.9257002,2.4630737,0.0,0.0
175,2.9253118,0.9375,0.0,0.0
176,2.9080677,2.4243164,0.0,0.0
177,2.8847637,0.93099976,0.0,0.0
178,2.8192492,1.5991211,0.0,0.0
179,2.795198,0.107177734,0.0,0.0
180,2.7907205,0.0,2.3908405,1.423523
181,2.7769856,0.44848633,0.0,0.0
182,2.7532463,1.5986328,0.0,0.0
183,2.746421,1.6181641,5.567523E-4,4.4143066
184,2.7449682,1.6298828,0.0,0.0
185,2.7265384,2.4498749,0.014466451,4.9024353
186,2.711646,2.543335,0.0,0.0
187,2.7018805,1.6130371,0.0,0.0
188,2.698463,0.11230469,0.0,0.0
189,2.692898,0.951416,0.0,0.0
190,2.6846075,0.96258545,0.0,0.0
191,2.664299,2.4789429,0.13226235,2.575241
192,2.6335325,1.6379395,0.0,0.0
193,2.63214,0.0,0.0,0.0
194,2.6268528,2.4542236,0.022245163,2.5907593
195,2.5904567,0.41137695,0.0,0.0
196,2.5565176,1.6420898,0.0,0.0
197,2.5459726,0.10696411,0.0,0.0
198,2.542686,0.10437012,0.0,0.0
199,2.5280812,1.2333984,0.5353005,4.2139893
200,2.493955,0.41992188,2.0570745,2.0780182
201,2.4888554,0.0,0.0,0.0
202,2.47043,0.9265137,0.2315854,3.605957
203,2.4703937,0.9206543,0.0,0.0
204,2.4589145,0.41625977,0.20618613,3.871704
205,2.420825,0.0,0.061180998,3.4334946
206,2.4023376,0.92303467,0.0,0.0
207,2.397161,1.6444092,0.0,0.0
208,2.3734596,0.0,1.4556396,4.805664
209,2.3386996,0.48773193,0.0818809,4.414215
210,2.2946332,1.5701904,0.0011031973,1.3250732
211,2.2849236,0.9437256,0.0,0.0
212,2.2691245,0.40997314,1.3745537,5.5588684
213,2.253387,1.4172821,0.40508026,5.5332947
214,2.2503662,0.10235596,0.0,0.0
215,2.2416089,0.42364502,0.031600837,1.5594788
216,2.1755338,0.41357422,1.5845712,11.16893
217,2.1623104,0.10424805,0.0,0.0
218,2.1533856,0.40612793,0.0,0.0
219,2.152935,0.94262695,0.0,0.0
220,2.1493688,0.90371704,0.0,0.0
221,2.1419282,0.109191895,0.52777296,1.813446
222,2.1408033,0.10571289,0.0,0.0
223,2.1229324,0.0,0.0,0.0
224,2.1195292,0.0,0.0,0.0
225,2.105474,0.6724243,0.0071634804,1.936676
226,2.0804062,0.0,0.0,0.0
227,2.0444345,0.40844727,0.0,0.0
228,2.0368483,0.15531921,0.03699413,7.8081665
229,2.0262635,1.6050415,0.0,0.0
230,2.0102997,0.9059143,0.0,0.0
231,2.0063806,0.91223145,0.0,0.0
232,1.9857613,0.0,1.9177226,2.607544
233,1.981087,0.10549927,1.7438657,5.2005463
234,1.975975,0.42025757,0.22800475,0.9449463
235,1.9717066,0.93795776,0.0,0.0
236,1.9460919,0.0,0.0,0.0
237,1.940408,0.0,1.4549539,4.1355286
238,1.9112506,0.0,0.0,0.0
239,1.8985131,0.8873291,0.0,0.0
240,1.847564,0.0,0.0,0.0
241,1.8246194,1.7060547,0.018821873,2.9807892
242,1.8138938,0.4175415,6.670574E-4,2.7140808
243,1.8126305,0.43920898,1.257676,3.60466
244,1.8045343,0.90682983,0.0,0.0
245,1.798377,0.103393555,0.0,0.0
246,1.7794366,0.0,0.0,0.0
247,1.7567506,0.41918945,0.0,0.0
248,1.7218947,0.115478516,0.0,0.0
249,1.7199639,0.10644531,1.3074917,2.6817703
250,1.7014651,0.951416,0.20828673,2.5354156
251,1.6836236,0.10620117,0.0,0.0
252,1.628921,0.0,0.68879604,6.1228867
253,1.6190445,0.9690857,0.0,0.0
254,1.6182387,0.0,0.0,0.0
255,1.5749402,0.9283447,0.0,0.0
256,1.5387722,0.0,0.0,0.0
257,1.5273565,0.10681152,0.0,0.0
258,1.5271349,0.10583496,0.0,0.0
259,1.5023047,0.0,0.03549542,3.647026
260,1.4227439,0.4046631,0.80354655,3.5861206
261,1.4172646,0.1048584,0.0,0.0
262,1.4026268,0.10668945,0.14120081,7.237602
263,1.3885286,0.698761,0.09279609,2.3034668
264,1.3615365,0.0,0.0,0.0
265,1.3521538,0.0,0.0,0.0
266,1.306236,0.43041992,0.021859854,4.8009033
267,1.2931408,0.42138672,0.6758536,5.87912
268,1.2744049,0.0,0.11201899,5.566681
269,1.2697272,0.41638184,0.0,0.0
270,1.2626922,0.0,0.026175762,1.3226318
271,1.2622755,0.43115234,0.26275945,7.246002
272,1.253663,0.0,1.2346927,3.1430054
273,1.245686,0.0,0.3787418,7.687958
274,1.243679,0.107055664,0.07078427,0.3435974
