rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,18.039724,16.985596,0.0,0.0
2,16.155138,12.779297,0.0,0.0
3,12.019543,11.305481,0.19551769,11.119385
4,11.365561,8.791397,0.0,7.2158203
5,11.184318,4.6256866,6.462228,4.9239044
6,11.1768,3.4899902,4.052755,3.279602
7,10.986318,7.54953,0.001715713,1.098999
8,10.87078,9.541016,0.76801014,2.5200653
9,10.615593,7.7113037,1.1685165,4.136444
10,10.503766,7.8609924,1.6131212,14.804413
11,10.291258,7.501465,0.0,0.0
12,10.283464,2.7822113,6.905796,8.65921
13,10.282564,7.5717773,0.0,0.0
14,10.219515,6.243164,2.835662,3.8247986
15,10.121796,7.989258,0.0,0.0
16,8.967065,6.1816406,0.0,0.0
17,8.568323,4.7272644,1.9621966,2.8697205
18,8.326781,7.713501,0.0,0.0
19,8.1904335,6.390747,0.0057885135,6.314331
20,8.156873,7.395996,0.0,0.0
21,8.141558,5.961914,0.0,0.0
22,7.9794817,6.317871,0.006589952,4.941925
23,7.7549396,1.5778809,5.8319526,7.2739716
24,7.6745653,5.333206,0.015050007,6.1188354
25,7.602688,3.0374908,3.0720519E-6,4.896927
26,7.594509,4.817627,0.0,0.0
27,7.4858193,0.41357422,6.9921556,11.145836
28,7.312775,2.471466,2.0069385,1.2315674
29,7.215625,3.5888672,0.0,0.0
30,7.028885,6.0581055,0.70900273,2.412506
31,7.0229187,3.5414429,0.0,0.0
32,6.968849,1.6335449,4.067972,3.4556732
33,6.948905,0.10290527,5.734277,7.981186
34,6.7867947,3.5844727,0.005160737,2.8543854
35,6.7032356,5.036377,0.0069432585,1.6889191
36,6.694334,3.7869873,0.0,0.0
37,6.6184106,3.6987305,0.0,0.0
38,6.542018,5.062866,0.0,0.0
39,6.425109,0.9265137,2.3675158,1.6904068
40,6.409293,0.121414185,5.3054686,5.9153214
41,6.4008274,3.619629,0.0,0.0
42,6.3777657,0.0,5.4852443,2.8529663
43,6.277175,0.9039917,0.0,0.0
44,6.2354693,0.0,0.0,0.0
45,6.2079477,4.5701447,0.0,0.0
46,6.083946,1.6088867,0.0,0.0
