rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,16.584402,13.21875,2.9772491,4.4943237
2,16.307064,9.56665,4.910515,2.2662354
3,14.221275,2.4639893,6.302277,4.402771
4,14.149106,10.992615,2.5988998,1.7824707
5,13.541467,11.367249,0.0,0.0
6,13.016282,9.259033,0.0,0.0
7,12.115336,9.241333,0.060940553,7.8716583
8,11.99,11.012085,0.054645076,3.4873962
9,11.934339,9.593506,0.34060037,1.4406433
10,11.842824,10.817383,0.0,0.0
11,11.716778,11.25647,0.0,0.0
12,11.459002,5.90625,0.750306,4.8116455
13,10.9834175,5.9970703,3.0803733,8.548462
14,10.65873,5.1397705,3.4508724,1.7547607
15,10.581921,6.145508,0.0,0.0
16,10.484417,8.263916,0.010467539,0.9719238
17,10.094812,6.149658,0.0,0.0
18,9.963127,3.6884766,4.6376,4.5951843
19,9.876758,7.616272,0.0,0.0
20,9.674729,4.6965027,0.0,0.0
21,9.6545,7.532776,0.0,0.0
22,9.564786,5.9414062,0.0,0.0
23,9.561442,7.8233643,1.2391576,7.6262207
24,9.453455,6.0791016,0.0014284293,0.39518738
25,9.439045,4.5429077,0.0,0.0
26,9.312431,7.7525024,0.5126377,3.9091644
27,9.293716,6.171875,0.025009155,1.2906189
28,9.2688675,0.4124756,3.005197,6.5543823
29,9.216071,4.7261963,0.0,0.0
30,9.087591,6.1245117,0.0,0.0
31,8.878463,7.4904785,1.5650956E-4,1.026123
32,8.824465,0.10839844,8.270757,13.977173
33,8.804068,4.830017,0.0,0.0
34,8.735178,4.7872925,0.0,0.0
35,8.730063,4.8603516,0.0,0.0
36,8.684857,5.009033,0.0,0.0
37,8.588633,6.0351562,0.0,0.0
38,8.425613,6.0546875,0.0,0.0
39,8.332157,5.995117,0.0532012,3.038086
40,8.271339,6.0751953,0.0,0.0
41,8.247514,3.6225586,0.0,0.0
42,8.24138,7.411377,0.0,0.0
43,8.045423,3.6236572,0.0,0.0
44,7.8678856,0.10443115,0.0,0.0
45,7.8488607,6.3447266,0.0,0.0
46,7.816293,4.686249,0.69492394,2.401245
47,7.725759,3.5566406,3.950412,9.074051
48,7.7182083,6.241699,0.0,0.0
49,7.678752,2.4865723,4.526813,4.607666
50,7.658471,4.891968,0.0,0.0
51,7.6451273,0.91223145,0.0,0.0
52,7.5973225,4.7894287,0.0,0.0
53,7.589125,2.4342346,4.2488713,3.3999329
54,7.5003834,4.642029,0.0,0.0
55,7.398579,0.41119385,5.0463595,3.2127686
56,7.38383,0.4290161,0.0,0.0
57,7.24076,0.0,3.720636,4.10141
58,7.2373214,3.47937,0.04906308,1.802597
59,7.1263638,4.68219,0.0,0.0
60,7.1097198,0.41394043,4.7231236,5.562584
61,7.0730414,0.10253906,4.396894,6.317383
62,7.072541,6.0878906,0.0,0.0
63,6.960481,0.104278564,5.679303,4.799835
64,6.9582357,4.6292114,0.0,0.0
65,6.9475746,2.4945068,0.0,0.0
66,6.9421263,3.4782715,2.2266977,4.6523438
67,6.9314394,3.512146,0.0,0.0
68,6.9296155,3.6448975,0.9395169,4.1453247
69,6.925687,4.6727905,0.012130092,0.7728882
70,6.9006343,2.389679,0.0,0.0
71,6.8777657,0.93933105,0.0,0.0
72,6.8721,4.7159424,0.0,0.0
73,6.7599916,3.4903564,0.0,0.0
74,6.736749,2.41745,3.2928402,1.4881287
75,6.731483,4.7430725,0.0,0.0
76,6.7295346,2.4635315,0.0,0.0
77,6.7186165,4.6522827,0.0010938817,4.9813843
78,6.7078476,1.5688477,3.7208145,9.182053
79,6.6881475,6.286621,0.26588032,3.9268188
80,6.6800065,3.5888672,0.12486694,1.9554749
81,6.6751204,3.456665,0.0,0.0
82,6.6543097,4.725342,0.11577761,0.812027
83,6.632854,0.89538574,5.461934,10.230835
84,6.6323547,2.4279785,3.2375398,1.9254761
85,6.6118603,0.8958435,5.1614556,7.40094
86,6.577218,3.425171,0.0,0.0
87,6.57324,4.687958,0.0,0.0
88,6.572628,1.5688477,0.0,0.0
89,6.5314856,3.8236084,0.0,0.0
90,6.505041,1.5549316,3.3551753,4.189728
91,6.504119,3.468567,0.0,0.0
92,6.4886937,1.6397705,0.0,0.0
93,6.415296,3.5108643,0.0,0.0
94,6.358364,0.9092102,3.3109567,3.8646545
95,6.3503428,0.10479736,3.777841,4.1380005
96,6.3490496,4.715515,0.0,0.0
97,6.298277,1.5506592,1.3107648,2.5145874
98,6.259689,4.5151367,0.0,0.0
99,6.213765,1.5748291,0.0,0.0
100,6.192109,0.9378662,4.506181,3.515442
101,6.1607394,0.93969727,2.935388,3.3457031
102,6.1482944,2.4201965,0.0,0.0
103,6.142242,2.4768066,0.0,0.0
104,6.123283,0.0,0.0,0.0
105,6.055274,3.5332031,0.0,0.0
106,6.0499682,3.4936523,1.0333143,2.9208984
107,6.0319104,3.4801025,0.0,0.0
108,6.0310917,4.614685,0.0,0.0
109,6.028203,3.4753418,0.8781198,0.94207764
110,6.0100164,0.923584,2.951439,6.835205
111,5.9732876,2.4656677,0.0,0.0
112,5.9496956,2.434082,0.0,0.0
113,5.9369836,0.105529785,4.415874,4.8482666
114,5.927411,3.5756836,0.6151331,1.4440918
115,5.9061813,1.5895996,0.0,0.0
116,5.8901186,0.101989746,5.503366,3.6887512
117,5.880848,0.0,2.5141,1.6394043
118,5.86952,3.5302734,0.007841521,3.001587
119,5.8488874,4.7289734,0.49820116,2.276001
