rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,18.55137,13.560059,0.7487458,2.0262146
2,16.41926,11.691528,0.0,0.0
3,16.250269,11.157776,4.9841027,6.7061157
4,15.97158,12.689209,0.0,0.0
5,14.944702,6.1220703,8.43059,3.9642944
6,14.889553,11.093994,3.171357,8.867798
7,14.632009,8.109009,5.4580374,10.605774
8,14.348016,11.5303955,0.0,0.0
9,14.133993,9.327393,4.4286838,8.402618
10,14.1283655,9.934082,0.0,0.0
11,13.998381,7.48114,5.485343,6.2719727
12,13.699803,11.621704,0.0,0.0
13,13.675686,13.171875,0.0019317359,3.7200928
14,13.574812,6.3466797,2.5159748,3.297882
15,13.549181,11.1866455,0.0,0.0
16,13.340754,4.798828,0.0,0.0
17,13.145289,11.263184,0.0,0.0
18,13.09463,10.852295,0.7724774,2.3545837
19,12.895301,10.653564,0.38973707,1.8812866
20,12.659979,7.8321533,2.6855357,5.759796
21,12.374021,7.835449,0.29721692,1.6490479
22,12.293579,6.392578,3.9599133,2.0506287
23,12.274628,9.669189,0.0,0.0
24,12.235711,6.241211,5.444628,3.9513855
25,12.180609,4.3200073,4.0243254,6.8656235
26,12.076984,7.6052856,4.012806,2.6416016
27,11.975193,2.6971436,3.880312,2.5263977
28,11.928492,7.6497803,3.7530599,6.206604
29,11.799706,11.362549,0.3740952,2.6469421
30,11.752396,4.800537,0.8687713,3.1976318
31,11.727032,2.0197754,5.438067,7.3385925
32,11.681091,6.4160156,4.963321,4.6367188
33,11.67646,10.148926,0.60559744,4.735016
34,11.519232,9.3811035,0.0,0.0
35,11.426496,11.299438,0.005673609,5.8066406
36,11.411367,7.967285,0.0,0.0
37,11.398195,7.9101562,0.0,0.0
38,11.391066,4.8406982,4.450656,3.4103394
39,11.377136,11.221558,0.0,0.0
40,11.30459,0.4465332,9.3022995,7.352783
41,11.255365,4.7509766,5.6361947,3.4736938
42,11.210892,9.49585,0.0,0.0
43,10.893774,9.421387,0.0,0.0
44,10.88563,3.4667358,4.737144,11.463745
45,10.864035,7.4641113,0.0,0.0
46,10.804523,6.1416016,4.2070875,5.2167206
47,10.767897,9.163818,0.57723093,4.2128906
48,10.712261,2.4475098,7.299904,13.172913
49,10.46141,9.736328,0.075285465,1.6288757
50,10.335308,7.869507,0.0,0.0
51,10.2776375,7.9420166,0.0,0.0
52,10.157272,7.7091064,0.015510888,2.3322754
53,9.993857,7.4418945,0.59312683,17.457657
54,9.986338,7.5706787,0.4705311,6.4557953
55,9.961887,3.6027832,4.9273205,2.5533142
56,9.960608,4.8398438,0.0,0.0
57,9.853163,6.7578125,0.010380173,3.8173828
58,9.832435,5.979492,0.0,0.0
59,9.671682,4.834503,0.0,0.0
60,9.616938,3.6430664,0.0,0.0
61,9.558527,6.1054688,0.0,0.0
62,9.5431595,4.7843018,0.0,0.0
63,9.466056,7.6464844,0.5415193,1.3244934
64,9.318035,6.3515625,0.0,0.0
