rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,25.480211,19.863281,2.8934097,6.3031616
2,19.698639,17.906738,0.0,0.0
3,18.173822,13.306641,4.736802,4.860016
4,17.992178,15.958008,0.043809347,3.4329224
5,17.97184,11.021484,0.0,0.0
6,17.346598,16.050049,4.200375E-4,3.060608
7,16.995916,13.192383,0.87616855,2.5743713
8,16.73973,14.780518,0.0,0.0
9,15.876684,13.022461,0.4497428,6.4396973
10,15.516035,14.000977,0.0,0.0
11,15.013808,11.420288,0.0,0.0
12,14.964679,13.092773,0.0,0.0
13,14.76617,11.467285,0.0,0.0
14,14.712554,13.77832,0.0,0.0
15,14.572851,9.550781,3.3966331,3.8266296
16,14.44851,11.27124,1.7619283,4.1298676
17,14.389217,7.633301,0.026826391,1.4873047
18,14.300594,7.914551,4.52647,14.014343
19,14.163292,11.708984,0.14872159,0.52697754
20,14.147145,6.171875,6.8346386,9.191528
21,13.977992,9.602051,0.0,0.0
22,13.975207,8.187744,0.28056982,16.420555
23,13.968774,13.347656,0.027243387,2.265625
24,13.562219,9.9279785,0.22186816,8.271973
25,13.438,11.09668,0.18777621,1.5164185
26,13.433366,7.6970215,0.0,0.0
27,13.299852,10.940918,1.4494737,4.3828125
28,13.159519,7.7651367,3.530404,3.5645142
29,13.159502,7.5651855,5.07214,11.0035095
30,13.014464,9.725342,0.0,0.0
31,12.956211,7.675049,5.1485868,16.051056
32,12.945806,9.907227,2.725446,9.268311
33,12.853899,4.8518066,6.458551,13.187378
34,12.680694,9.545898,0.0,0.0
35,12.649486,6.3671875,4.4700356,2.4298096
36,12.426637,11.375977,0.0,0.0
37,12.153313,9.941406,0.3332286,3.6444397
38,12.052689,7.9848633,0.0,0.0
39,12.037473,11.0859375,0.0,0.0
40,12.033644,7.8112793,2.4686685,2.550293
41,12.016301,9.428711,0.0,0.0
42,11.797706,8.022217,0.0,0.0
43,11.761126,4.814209,5.0653834,8.291382
44,11.605372,11.14502,0.0,0.0
45,11.520085,3.4760742,6.9502945,13.954987
46,11.397222,7.9870605,2.8997853,5.3239746
47,11.277842,9.033203,0.0,0.0
48,11.257003,6.1464844,3.462045,1.6065979
49,11.251541,11.09668,0.0,0.0
50,11.156305,7.6047363,0.0,0.0
51,11.081057,6.3183594,0.9646888,3.1902466
52,11.038176,3.6518555,0.0,0.0
53,10.970394,2.4707031,6.6601562,14.9678955
54,10.963323,7.835449,2.2107153,9.590088
55,10.958337,9.680176,0.0021051154,9.208618
56,10.893393,7.7980957,2.1046498,5.914734
57,10.868993,9.711914,0.0128406575,1.5744629
58,10.771196,7.773926,0.0,0.0
59,10.760515,1.5839844,4.526605,5.4621277
60,10.756781,2.5726318,4.759103,3.074463
61,10.717515,4.908203,0.49531305,5.0011597
62,10.70723,9.21875,0.0021377658,2.6619873
63,10.671242,2.4490356,7.272508,9.471802
64,10.64434,6.4023438,0.0,0.0
65,10.641952,6.5283203,0.0,0.0
66,10.622035,6.1484375,1.227096,16.318054
67,10.56017,6.4375,3.5434444,9.433411
68,10.537424,9.207764,0.0,6.3243103
69,10.532593,7.85083,0.0,0.0
70,10.5239725,7.8310547,0.0,0.0
71,10.50572,9.01001,0.0,0.0
72,10.364644,9.223633,1.7030057E-5,2.104309
73,10.298309,9.665527,0.12935041,2.8514404
74,10.291912,7.8706055,0.0,0.0
75,10.285794,9.4104,0.008442309,0.88494873
76,10.258172,5.03125,0.0,0.0
77,10.236519,9.307861,0.08692033,4.624695
78,10.212834,3.4438477,1.915344,5.062866
79,10.138478,6.0439453,3.535941,2.0391846
80,10.10946,3.5097656,3.4115152,8.627319
81,10.084469,9.3688965,0.12294053,5.2370605
82,10.032833,9.508057,0.13714421,4.8125
83,10.003559,2.5012207,5.868117,8.402222
84,9.980125,6.1464844,0.0,0.0
85,9.980097,9.489746,0.0,0.0
86,9.96722,7.6519775,2.0244207,2.885376
87,9.931102,4.834717,1.5432136,0.7877197
88,9.922101,7.725586,1.2493234,10.657959
89,9.871225,6.064453,0.0,0.0
90,9.865379,7.7365723,0.0,0.0
91,9.851433,3.4643555,0.0,0.0
92,9.775443,6.125,0.0913541,2.732071
93,9.7063675,7.9123535,0.0,0.0
94,9.677579,7.5289307,2.7561198E-5,4.2564697
95,9.674994,5.0859375,0.0,0.0
96,9.610971,4.7578125,4.4265666,10.874451
97,9.553484,4.8894043,0.0,0.0
98,9.539371,6.267578,0.0,0.0
99,9.536694,7.866211,0.0,0.0
100,9.52453,2.5305176,6.048369,5.45636
101,9.4780445,3.6503906,3.717331,6.638672
102,9.465769,7.956299,0.0,0.0
103,9.400461,6.2246094,1.4833037,2.1357422
104,9.3612175,7.9870605,0.03152916,4.2697144
105,9.339194,6.2773438,0.0,0.0
106,9.305144,6.2421875,0.0,0.0
107,9.285896,7.7871094,0.05587747,3.5568237
108,9.274606,6.166992,2.0051029,12.634888
109,9.2695465,2.5341797,6.147731,7.4536743
110,9.206668,7.284668,0.0,7.2130127
111,9.147233,4.7441406,0.975181,1.2267456
112,9.100031,6.3759766,0.0,0.0
113,9.019111,6.338867,0.0,0.0
114,9.000146,1.6220703,5.8521223,3.0093079
115,8.985758,0.0,7.610602,22.610321
116,8.95081,4.901367,0.0,0.0
117,8.908908,7.375122,0.0,0.0
118,8.896548,3.6972656,3.5141325,6.5791626
119,8.863018,0.91259766,4.462122,1.8105469
120,8.851971,3.5229492,4.563076,9.59198
121,8.847956,7.743164,0.021831116,3.1138916
122,8.831242,3.5478516,0.0,0.0
123,8.812283,7.6574707,0.0,0.0
124,8.786039,0.1105957,7.8593216,7.949829
125,8.771881,4.8911133,3.3894925,1.5778732
126,8.767312,8.039795,0.048975565,2.5656738
127,8.753813,6.107422,0.0066564674,6.4319763
128,8.732572,2.5634766,4.313164,5.4813843
129,8.691078,3.666504,4.977648,10.191528
130,8.682449,3.6123047,4.1298122,2.3389893
131,8.637179,4.802246,0.0,0.0
132,8.635648,6.2402344,0.0,0.0
133,8.6286125,6.538086,0.13447483,2.4240112
134,8.619793,7.8706055,0.17470513,3.0743408
135,8.595652,6.423828,0.0,0.0
136,8.594092,7.8497314,0.002873964,9.786987
137,8.587041,5.1748047,0.0,0.0
138,8.582085,3.7353516,3.197459,15.234436
139,8.579946,4.7526855,0.026230387,2.7374268
140,8.573162,7.701416,0.0052891592,4.63916
141,8.526817,0.9499512,6.9583592,6.285553
142,8.501509,6.109375,0.6541495,5.829712
143,8.500193,0.92907715,6.029061,4.5754395
144,8.471879,6.276367,0.0053096404,5.236328
145,8.454105,0.4560547,7.449456,5.4138184
146,8.405098,0.0,8.206917,5.6147766
147,8.404235,3.769043,2.6225173,8.937012
148,8.360492,0.11230469,7.5914555,8.425232
149,8.263082,7.74646,0.3920314,8.791809
150,8.251391,7.5498047,0.0,0.0
151,8.2299385,0.0,6.655934,11.802063
