rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,14.540346,12.547852,0.0,0.0
2,13.739235,1.5999756,7.3267727,3.8701172
3,13.673483,2.4806213,8.179049,3.7646484
4,11.670059,11.104736,0.0,0.0
5,11.620778,4.6522827,4.2949347,4.727051
6,11.423967,4.72641,4.910793,2.0080566
7,10.946408,0.9299011,7.465888,7.682129
8,10.929352,9.433594,0.0,0.0
9,10.925819,4.744995,6.145504,8.26181
10,10.799399,9.576416,1.4673604E-4,0.32543945
11,10.636222,7.6278076,0.53503174,3.663742
12,10.287097,6.072754,0.0,0.0
13,10.272068,9.523926,0.24574685,1.5473022
14,10.259695,7.6728516,0.0,0.0
15,10.151009,5.0064697,4.801672,2.6538086
16,10.095963,9.368286,4.612675E-6,1.0624695
17,9.89381,7.44104,0.0,0.0
18,9.7140465,9.285278,3.087314E-5,5.5598145
19,9.7041235,9.564819,0.0,11.536865
20,9.279938,4.710388,0.0,0.0
21,9.084213,7.5363464,0.0,0.0
22,8.925713,2.4731445,6.2322316,3.3025513
23,8.757683,2.4269104,0.0,0.0
24,8.753506,5.944824,0.0,0.0
25,8.605836,3.5646973,3.5184062,5.1223145
26,8.561806,7.6486816,0.0,0.0
27,8.466927,1.567749,6.7763367,7.663513
28,8.422358,6.038086,0.0,0.0
29,8.407967,5.982422,0.0,0.0
30,8.385145,0.10424805,5.176588,4.189636
31,8.295542,1.6190186,4.0188923,3.3585205
32,8.125257,6.194336,0.0,0.0
33,8.047762,2.4789429,4.2278104,4.336853
34,8.028982,2.4105835,3.0084677,3.971466
35,8.013301,7.5075073,0.0,0.0
36,7.9385853,4.9086304,0.0,0.0
37,7.924741,6.0717773,0.0,0.0
38,7.9188733,4.7390137,1.9488083,2.3430252
39,7.909216,4.6683044,0.0,0.0
40,7.739197,6.144287,0.0,0.0
41,7.7326007,4.6388245,0.0,0.0
42,7.7318544,0.105163574,6.943672,3.8280182
43,7.7018647,1.6251221,5.970869,6.962509
44,7.6831865,3.510498,0.0,0.0
45,7.6748714,6.114258,0.0075693005,0.30474854
46,7.6559124,4.673218,0.0037060212,1.0941772
47,7.653639,2.4964905,4.1989527,7.0302505
48,7.6369414,4.7402954,0.0,0.0
49,7.548889,2.4327087,0.0,0.0
50,7.346042,6.100586,0.0,0.0
51,7.341316,0.105529785,3.6559026,5.2666473
52,7.3404617,3.4863281,0.0,0.0
53,7.31946,4.7244873,1.2222452,1.5466309
54,7.286122,6.0268555,0.0,0.0
55,7.2823005,0.10467529,0.0,0.0
56,7.1871705,5.298279,0.0103193475,10.7041855
57,7.170504,3.4801025,0.0,0.0
58,7.119818,4.730896,0.0,0.0
59,7.104702,3.4368896,0.0,0.0
60,7.074776,3.4594116,0.0,0.0
61,7.0405307,0.40112305,6.2223225,6.5491486
62,7.0355115,4.6988525,0.0,0.0
63,6.9991493,3.566162,0.0,0.0
64,6.9856215,0.0,0.0,0.0
65,6.98394,3.4779053,2.3526325,2.3278809
66,6.9755187,6.1938477,9.916753E-4,2.0505981
67,6.9735584,0.0,4.3592186,6.3031616
68,6.9173317,0.9152527,4.826835,4.4939346
69,6.8306503,4.5555115,0.0,0.0
70,6.823429,6.0334473,0.0,0.0
71,6.821876,1.5595703,3.674892,7.742218
72,6.79634,0.0,6.11095,3.6710358
73,6.730157,0.0,5.8635406,4.131134
74,6.7258224,4.6740723,0.0,0.0
75,6.6674156,4.838562,0.0,0.0
76,6.591886,5.9799805,0.0827838,2.132225
77,6.5802455,1.555542,3.1443586,3.1792603
78,6.5524106,3.5603027,0.0,0.0
79,6.5376444,0.10354614,0.0,0.0
80,6.511694,0.90948486,2.8090842,11.106033
81,6.49034,3.6221924,0.0,0.0
82,6.478785,2.4343872,0.0,0.0
83,6.4527936,1.5839844,0.6154103,2.7659912
84,6.451861,2.4275208,0.0,0.0
85,6.447607,4.6698,0.0,0.0
86,6.443555,4.599945,0.0,0.0
87,6.4371777,4.6683044,0.0,0.0
88,6.4288187,0.9506836,4.4245424,2.114563
89,6.4258533,3.4698486,0.08441923,3.5203857
90,6.408813,2.4520874,0.004447376,1.9823456
91,6.4009814,1.6375732,3.6624246,4.4437866
92,6.382209,3.5595703,0.0,0.0
93,6.378222,3.4876099,0.0031848985,1.583435
94,6.3736963,0.9132385,4.7119684,2.4201965
95,6.3663707,4.725128,0.0,0.0
96,6.349528,4.6971436,0.5377465,4.234436
97,6.346268,4.7990417,0.49960083,3.6672363
98,6.338458,2.4926758,0.0,0.0
99,6.3371134,0.40979004,5.525078,2.9768372
100,6.26684,0.4099121,4.292427,8.8871155
101,6.259629,2.4664307,0.0,0.0
102,6.240596,3.4489746,2.4572606,2.7145386
103,6.233532,3.373169,1.5719261,2.600174
104,6.228707,2.5323486,0.0,0.0
