rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,10.240137,0.0,9.592085,4.3168945,21.74857
2,8.803213,0.0,8.53507,6.9319916,17.544384
3,8.226772,0.0,7.670221,4.241028,16.053118
4,8.214001,0.0,6.453398,8.022949,23.553322
5,7.1166573,0.0,6.9532433,1.484787,21.604622
6,6.2586827,0.0,5.791978,3.3799973,19.689302
7,6.2546396,0.0,4.992866,4.6789093,20.212801
8,6.195087,0.0,6.180791,5.037033,18.857725
9,6.1862926,0.0,6.1820335,5.2285767,19.770739
10,6.173833,0.0,5.7889056,2.7492676,17.785055
11,6.1021547,0.0,5.620569,4.9467773,19.75512
12,5.963597,0.0,5.7849994,6.0073624,18.796389
13,5.872595,0.0,5.7953396,3.0110626,20.725983
14,5.7901044,0.0,5.1705503,4.3941193,19.672876
15,5.725645,0.0,5.6263933,3.1968994,19.251112
16,4.993535,0.0,4.885411,2.164215,22.203913
17,4.99007,0.0,4.9470177,0.9914398,19.566336
18,4.922641,0.0,2.9451501,1.4653473,19.066387
19,4.8538294,0.0,2.402177,2.4652405,16.435919
20,4.7728367,0.0,4.1334863,2.9012146,18.18186
21,4.7657123,0.0,3.2895164,0.61553955,21.243954
22,4.7066917,0.0,3.4029584,2.0500488,23.537453
23,4.6932116,0.0,2.7437544,7.2599106,20.705109
24,4.641921,0.0,4.633331,1.1051941,18.845182
25,4.6076245,0.0,4.4776983,0.8610916,21.560253
26,4.51911,0.0,4.295176,0.80142975,23.494974
27,4.421649,0.0,4.0567083,2.1313019,16.798216
28,4.383122,0.0,4.1267915,8.587112,22.806023
29,4.3590994,0.0,3.6626797,1.4174652,21.237944
30,4.28776,0.0,4.1388087,1.8999939,20.116856
31,4.2620955,0.0,4.0832157,2.1371613,22.845572
32,3.9724617,0.0,3.5727777,2.3900986,20.265314
33,3.8244505,0.0,3.8144877,1.4096375,19.487028
34,3.7851822,0.0,3.5256124,0.59594727,21.678741
35,3.7794507,0.0,3.4216774,0.8625488,21.677073
36,3.7768533,0.0,3.7567022,3.7871323,20.637638
37,3.6999645,0.0,3.6715322,1.2797546,21.391602
38,3.5897293,0.0,2.6426349,6.00486,17.478365
39,3.5609055,0.0,3.3616545,0.97019196,21.222952
40,3.5035927,0.0,3.1788104,0.6701355,24.333239
41,3.468031,0.0,1.7519102,3.0106812,22.557596
42,3.4230828,0.0,2.478621,4.789139,21.327618
43,3.3925822,0.0,2.3151803,0.67736816,21.563023
44,3.232902,0.0,2.595417,3.0560608,18.16607
45,3.1752179,0.0,2.8631644,3.6687927,19.722704
46,3.1524103,0.0,2.8262358,0.46191406,19.291824
47,3.0568075,0.0,1.1762797,2.0445557,17.728859
48,3.0564969,0.0,2.2029917,3.9674911,18.84601
49,2.9165454,0.0,2.6474237,1.5227509,24.26082
50,2.9057984,0.0,1.8605564,1.943573,22.364883
51,2.8833559,0.0,2.0105813,2.709961,24.31375
52,2.8719153,0.0,2.592205,0.34405518,19.628933
53,2.6595626,0.0,2.6186786,1.5493469,16.462631
54,2.617377,0.0,1.9705708,0.43878937,18.841774
55,2.576954,0.0,2.3529806,0.67126465,22.613636
56,2.4503036,0.0,2.433662,8.718613,23.0642
57,2.4394066,0.0,2.2551112,2.4708252,20.367094
58,2.429642,0.0,1.7297609,0.6940613,24.30179
59,2.4277163,0.0,2.349045,1.2522125,19.989809
60,2.4155884,0.0,0.7518501,0.16143799,19.448307
61,2.4106839,0.0,1.8850193,0.9199219,18.977816
62,2.362955,0.0,0.79885304,1.3990784,21.374847
63,2.2970357,0.0,2.1058009,0.5111847,26.850533
64,2.2912111,0.0,1.7228594,1.3814392,19.844187
65,2.2826738,0.0,2.0177696,1.4121094,22.112032
66,2.2508285,0.0,2.1613383,0.46429443,24.900036
67,2.2215142,0.0,1.9861441,1.3346863,19.486303
68,2.1770859,0.0,0.8422992,1.6009521,19.727362
69,2.1481295,0.0,0.0,0.0,18.749004
70,2.0935845,0.0,0.48337233,3.4334564,22.848255
71,2.0647283,0.0,1.8366847,0.61820984,17.804129
72,2.036424,0.0,1.4493383,0.6878052,21.199408
73,2.0247173,0.0,1.1677519,2.3444061,20.146706
74,2.0155861,0.0,1.4516509,5.090149,17.556728
75,2.0150394,0.0,1.6606145,5.7114105,18.815474
76,2.0058818,0.0,0.9522974,2.0644531,21.430819
77,1.9918454,0.0,1.696579,0.42494202,19.967989
78,1.9732773,0.0,1.5088824,0.52537537,18.406662
79,1.9662907,0.0,1.6092314,0.4810791,20.144495
80,1.9644911,0.0,1.6404895,0.20240784,24.774647
81,1.9170189,0.0,1.490376,5.2530975,20.931082
82,1.9031708,0.0,1.7205951,1.1778259,22.631433
83,1.8780864,0.0,1.824587,0.73742676,20.782495
84,1.850291,0.0,0.3740294,0.15887451,30.728224
85,1.8455844,0.0,0.94194335,0.4139557,19.178787
86,1.8395748,0.0,0.651993,0.4119873,15.671645
87,1.8394966,0.0,1.5213579,0.48067474,23.583658
88,1.8029245,0.0,0.0,0.0,24.476322
89,1.7256098,0.0,1.5268004,0.9419098,20.418308
90,1.724029,0.0,1.200498,3.2550812,20.425928
91,1.6993384,0.0,0.0,0.0,21.784142
92,1.6630776,0.0,0.07940011,1.9696655,17.288658
93,1.6581951,0.0,1.2652805,1.0607147,22.787
94,1.6528814,0.0,1.6264817,0.44979858,21.125145
95,1.6274141,0.0,0.0,0.0,20.256287
96,1.6114285,0.0,0.0,0.0,17.74664
97,1.6111248,0.0,1.483748,0.28253174,19.925394
98,1.6083997,0.0,1.0812083,1.7374878,23.33869
99,1.6051942,0.0,0.121844396,4.105835,19.350546
100,1.5655477,0.0,0.0,0.0,22.207811
101,1.526909,0.0,1.4722848,0.8053589,20.832308
102,1.5241575,0.0,1.0292006,0.76364136,18.002415
103,1.520947,0.0,0.9314065,6.469574,23.119629
104,1.4989102,0.0,0.0,0.0,22.674753
105,1.4887781,0.0,1.4848466,4.254944,19.43382
106,1.483406,0.0,0.0,0.0,17.40559
107,1.480557,0.0,0.08333583,1.9667816,21.112083
108,1.4797049,0.0,1.4243822,4.8365555,23.199757
109,1.4682426,0.0,0.0,0.0,30.536743
110,1.4491663,0.0,0.0,0.0,23.07612
111,1.4123825,0.0,0.0,0.0,21.41663
112,1.4079117,0.0,0.0,0.0,18.827528
113,1.4067712,0.0,0.0,0.0,17.791958
114,1.3882111,0.0,0.8820777,0.4098816,22.508196
115,1.365909,0.0,0.0,0.0,22.617311
116,1.3629285,0.0,0.0,0.0,22.496313
117,1.3538733,0.0,0.9473657,5.0640717,21.848665
118,1.342501,0.0,0.034507122,1.9227905,34.917202
119,1.3111746,0.0,0.0,0.0,19.847359
120,1.3060318,0.0,0.0,0.0,29.163282
121,1.3053819,0.0,0.0,0.0,19.925316
122,1.3047713,0.0,0.0,0.0,17.13837
123,1.2937651,0.0,0.69523865,0.089279175,19.525164
124,1.2841365,0.0,0.63568765,2.3662186,19.510628
125,1.2791177,0.0,1.0135113,2.2305908,19.885729
126,1.2743415,0.0,0.0,0.0,16.912321
127,1.2677662,0.0,0.14016655,1.3945312,28.151346
128,1.266674,0.0,0.8916675,1.192749,20.329283
129,1.2540002,0.0,1.175672,3.5733643,21.188383
130,1.2528974,0.0,0.9474312,0.3095398,25.596645
131,1.2364295,0.0,1.0321627,0.21923828,24.365543
132,1.2354381,0.0,0.0,0.0,21.519018
133,1.2212758,0.0,0.0,0.0,19.79172
134,1.2193439,0.0,0.32275605,1.5354156,21.725828
135,1.2055926,0.0,0.0,0.0,22.650808
136,1.1974486,0.0,0.0,0.0,22.52099
137,1.1963449,0.0,0.7614979,0.045944214,19.228043
138,1.1839827,0.0,0.0,0.0,25.97901
139,1.1830113,0.0,0.8742874,3.983963,25.73535
140,1.1811271,0.0,0.0,0.0,20.442305
141,1.1808565,0.0,0.0,0.0,17.775122
142,1.1769526,0.0,0.0,0.0,22.453217
143,1.1757036,0.0,0.0,0.0,18.618319
144,1.1623969,0.0,0.0,0.0,18.68666
145,1.1439718,0.0,0.0,0.0,16.931479
146,1.1427106,0.0,0.0,0.0,16.937557
147,1.1382511,0.0,0.8265254,0.33261108,20.00832
148,1.1355643,0.0,1.0553231,2.989975,24.23173
149,1.1297513,0.0,0.8184155,0.8529663,17.424454
150,1.127237,0.0,0.0,0.0,19.078669
151,1.1246136,0.0,0.0,0.0,18.996283
152,1.124558,0.0,0.29076815,1.627121,20.440866
153,1.1206459,0.0,0.0,0.0,26.217909
154,1.1201392,0.0,0.0,0.0,20.045622
155,1.1173618,0.0,0.8821306,0.47227478,25.605026
156,1.1168144,0.0,0.0,0.0,21.72186
157,1.1133025,0.0,0.0,0.0,27.38272
158,1.1114414,0.0,0.9402417,0.65187836,20.851486
159,1.1064186,0.0,0.243214,0.5270386,24.53457
160,1.081155,0.0,0.0,0.0,21.160524
161,1.0748956,0.0,0.560843,1.3367462,18.022865
162,1.0644708,0.0,0.0,0.0,22.426855
163,1.0618566,0.0,0.70112526,0.038627625,21.281475
164,1.0549035,0.0,0.0,0.0,21.97752
165,1.0486853,0.0,0.0,0.0,22.654034
166,1.0453376,0.0,0.0,0.0,19.104635
167,1.0416164,0.0,0.0,0.0,27.79956
168,1.0359299,0.0,0.6385968,0.3794403,17.849178
169,1.0345606,0.0,0.0,0.0,19.037338
170,1.0246651,0.0,0.0,0.0,30.68155
171,1.0198537,0.0,0.0,0.0,23.665035
172,1.0070854,0.0,0.45519397,0.14685059,19.326523
173,1.0067811,0.0,0.66947985,1.5974121,17.72726
174,1.0056667,0.0,0.90975195,0.16140747,21.572027
175,1.0049536,0.0,0.0,0.0,22.25045
176,1.004877,0.0,0.0,0.0,19.43918
177,0.9974713,0.0,0.0,0.0,16.884407
178,0.99637365,0.0,0.9216373,3.3608398,23.665127
179,0.98920816,0.0,0.0,0.0,22.80348
180,0.9860842,0.0,0.0,0.0,18.096922
181,0.98200935,0.0,0.0,0.0,20.69256
182,0.9816232,0.0,0.0,0.0,23.251143
183,0.9772531,0.0,0.0,0.0,21.34588
184,0.97503686,0.0,0.85079837,2.3187256,21.728949
185,0.9728948,0.0,0.0,0.0,20.229706
186,0.97190166,0.0,0.0,0.0,25.015106
187,0.97185534,0.0,0.030136406,0.2030487,27.040985
188,0.9635202,0.0,0.0,0.0,21.293386
189,0.96146655,0.0,0.92680717,0.45474243,24.90162
190,0.95908374,0.0,0.0,0.0,21.517265
191,0.9572378,0.0,0.0,0.0,20.534279
192,0.9569574,0.0,0.0,0.0,20.716347
193,0.95347196,0.0,0.6734579,3.9300232,18.353298
