rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,20.86026,19.866943,0.0,0.0
2,19.714209,18.740723,0.7677188,2.2891846
3,17.31183,15.18042,0.17908241,6.3254395
4,14.663727,13.432617,0.01139327,3.9381104
5,14.441698,9.403076,0.0,0.0
6,14.267726,13.601074,0.0,0.0
7,14.265261,4.6394653,5.275654,3.675476
8,14.216581,9.561768,0.0,0.0
9,13.62964,9.262695,2.9503152,1.4189453
10,13.5081415,9.223633,0.0,0.0
11,13.431103,11.020142,0.0,0.0
12,13.322986,11.334351,0.0,0.0
13,12.813803,9.470215,2.973184,5.607605
14,12.289282,0.106933594,10.648596,11.203629
15,12.237632,6.423828,4.7438073,5.7207947
16,12.2176,0.41723633,11.250662,8.562714
17,12.0413685,3.5679932,4.34346,2.4274292
18,11.9249935,11.342407,0.026781913,1.0540771
19,11.891069,5.9780273,0.0,0.0
20,11.833751,3.534668,8.242399,11.09613
21,11.713844,7.965088,2.913772,1.9544678
22,11.642225,9.394531,1.7867997,11.78009
23,11.616437,7.491577,2.82418,2.3912048
24,11.552548,11.006714,0.1168573,2.4137878
25,11.529378,9.150391,0.0,0.0
26,11.396706,9.398193,0.0,0.0
27,11.363603,6.5029297,3.3326578,8.715881
28,11.332693,7.838745,0.0,0.0
29,11.2964735,9.262695,0.0,0.0
30,11.2433815,6.201172,0.0,0.0
31,11.170797,9.350586,0.0,0.0
32,11.080175,7.725586,0.0,0.0
33,11.077956,1.6083984,8.201657,13.914154
34,10.933074,5.9970703,3.9026515,3.6707153
35,10.859024,3.6401367,3.4388413,2.3776245
36,10.773642,9.432373,0.022498883,2.220459
37,10.764747,2.545166,8.074833,4.2886505
38,10.733088,9.747314,0.0,0.0
39,10.701675,0.9470215,8.973616,6.3220825
40,10.665544,0.0,9.298216,4.910187
41,10.595846,1.6435547,7.5017276,12.738373
42,10.590021,7.8464355,0.0,0.0
43,10.572046,2.5585938,4.7685995,3.9705505
44,10.500319,4.9680176,4.0777435,2.4294434
45,10.464335,9.169922,1.1646181,3.4503784
46,10.46305,7.555298,0.0,0.0
47,10.459133,5.0808105,5.241677,2.428711
48,10.455946,7.597595,0.0,0.0
49,10.342113,7.6585693,0.0,0.0
50,10.291739,2.4658203,6.8691745,4.4228516
51,10.280191,6.057617,0.0,0.0
52,10.201358,0.0,6.381173,4.6275635
53,10.177734,4.7210693,0.0,0.0
54,10.08959,6.279297,0.017658742,1.2583008
55,10.059734,7.6937256,0.0,0.0
56,9.971788,6.227539,0.5344369,1.0770721
