Actual Flu Population,Estimated Flu Population
6.7500005,8.050915
6.0,6.872468
6.7500005,7.41031
6.7500005,6.6183996
6.25,6.866603
7.5000005,6.5264935
5.0,6.7962966
6.0,7.3552966
7.0,7.580086
5.25,6.400685
7.75,8.2311945
7.75,8.80502
4.75,4.880248
5.25,6.070858
6.5,7.0233216
5.75,5.3006663
5.75,6.797979
5.5,6.9570947
6.0,6.9282756
5.75,5.8020935
6.25,5.824085
5.25,4.970991
6.0,7.288757
6.0,5.196896
5.5,6.8208036
7.0,7.3094096
4.25,4.360091
5.25,5.391528
6.25,8.002087
4.5,5.436168
7.0,8.040074
7.0,9.016187
4.0,4.7591343
4.75,4.878918
5.75,5.5507326
5.0,6.2730393
5.0,6.5157027
4.75,3.846111
5.25,5.1492915
5.0,5.7969155
5.5,7.5586076
4.5,5.16457
5.25,6.2219853
5.25,5.9100056
5.0,6.4294734
6.25,7.037204
3.7500002,4.0070176
4.5,5.594551
5.75,6.0451555
3.7500002,7.561137
6.5,5.20361
6.5,6.3938417
3.5,4.2363977
4.0,5.3371263
5.25,6.3009706
4.5,4.866285
4.5,6.1545343
4.25,5.520091
4.75,5.5292873
4.5,5.464323
5.0,5.415381
4.0,4.8863664
4.75,6.3218193
4.75,5.988238
4.25,4.200001
5.75,6.4819417
3.25,5.5585265
4.0,4.1831436
5.0,7.0563354
3.25,3.716551
6.0,6.5053363
5.75,5.965993
3.0,4.345025
3.5,4.1296096
4.75,7.496916
4.0,4.9253373
4.0,4.922039
3.7500002,5.4892173
4.0,6.2794747
4.0,4.122155
4.25,3.957381
3.5,5.318501
4.25,7.1979094
4.25,5.6298537
3.7500002,5.707004
5.25,5.955024
2.75,4.011821
3.5,5.4396772
4.5,6.6404624
2.75,5.0890117
5.5,6.3737116
5.25,6.8267565
2.5,4.0747747
3.0,4.3964744
4.25,5.791051
3.5,3.606904
3.5,5.348156
3.25,6.5813594
3.7500002,5.350875
3.5,6.8058248
4.0,5.2610064
3.0,6.5255313
3.7500002,5.0315742
3.7500002,4.839729
3.25,5.4926395
4.75,5.0216384
2.25,3.6982925
3.0,4.4856987
4.0,6.5515513
2.25,4.4382076
5.0,5.098529
5.0,6.5943656
2.25,2.884223
2.75,3.3002243
3.7500002,4.267456
3.0,4.4520583
3.0,4.568608
2.75,4.4724565
3.25,4.531812
3.0,4.3932805
3.5,4.5373473
2.75,4.912433
3.25,4.408801
3.25,7.806653
3.0,5.8372555
4.5,6.243309
2.0,5.3086853
2.5,4.1268973
3.7500002,6.0699477
2.0,4.504597
4.5,4.7593093
4.5,5.7411065
2.0,4.4508615
2.25,3.4430268
3.25,4.0640745
2.75,3.5645502
2.75,3.7157416
2.5,3.872581
2.75,3.0302818
2.75,3.8554797
3.0,4.101495
2.25,3.1666253
3.0,3.5471919
2.75,3.7999423
2.5,3.454668
4.0,6.005736
1.75,4.478568
2.25,3.1338835
3.25,3.7535148
1.75,3.5765622
4.25,4.103148
4.0,3.8426867
1.75,3.5368855
2.0,3.7436755
3.0,4.876753
2.5,4.138249
2.25,3.7820725
2.25,3.282275
