rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,11.847702,0.0,10.928632,6.6243744,18.156765
2,10.404923,0.0,10.370536,7.7782593,16.941128
3,7.1814146,0.0,6.333334,2.3877716,22.500498
4,7.1722693,0.0,6.3679314,1.8763733,22.390821
5,6.6779757,0.0,6.2368426,1.8692551,20.919794
6,6.449686,0.0,6.389803,4.0612183,18.398233
7,6.419879,0.0,6.213702,2.6665344,19.75342
8,5.858473,0.0,5.662003,3.9234238,23.829105
9,5.7462068,0.0,5.37674,13.349823,22.544971
10,5.728728,0.0,5.7169166,5.318512,20.210037
11,5.6236353,0.0,4.288625,2.8124084,18.514648
12,5.4080215,0.0,3.921351,1.2078094,23.585304
13,5.3757687,0.0,5.167453,4.3484344,23.711668
14,5.373566,0.0,5.082024,2.6519623,20.352842
15,4.880661,0.0,3.5676517,1.5220642,23.653166
16,4.63607,0.0,3.7008886,1.260376,20.947733
17,4.4931946,0.0,4.445079,2.0031433,20.634644
18,4.371654,0.0,3.3801942,8.774033,20.179451
19,4.264985,0.0,3.6815658,1.0400391,22.80232
20,4.2415476,0.0,3.8874667,2.7220383,21.400953
21,4.235265,0.0,3.6639102,1.0560608,20.308268
22,4.2293196,0.0,4.194261,1.3310242,21.730001
23,3.9930477,0.0,3.9271774,6.229248,24.11582
24,3.9768476,0.0,3.2055407,1.6136551,20.307562
25,3.918231,0.0,3.8925264,0.7383728,20.089764
26,3.8928306,0.0,2.4379869,2.8145905,23.0499
27,3.8735785,0.0,3.3468404,5.778076,18.86448
28,3.8474495,0.0,3.0901883,3.404419,20.109457
29,3.7128263,0.0,2.9471285,2.2239532,19.185545
30,3.5759487,0.0,2.3481798,5.850769,19.715992
31,3.5165374,0.0,3.366027,5.7400513,18.678165
32,3.4395318,0.0,2.7198505,0.6652832,20.062077
33,3.4198246,0.0,3.2327938,1.160469,24.870594
34,3.3336952,0.0,2.6711206,0.906868,21.145035
35,3.2501903,0.0,2.3719716,2.8527222,22.049532
36,3.240718,0.0,2.996396,2.798355,19.86431
37,3.240421,0.0,2.1937335,2.2116394,23.347511
38,3.1226687,0.0,1.8780835,1.8172302,19.455227
39,3.1077292,0.0,3.0038118,0.4567871,17.400145
40,3.0506265,0.0,2.7595406,2.1521301,19.195318
41,2.902399,0.0,2.8608816,0.54551697,15.463281
42,2.8688436,0.0,2.598251,1.3871155,23.809904
43,2.860713,0.0,2.4507637,3.6398544,18.526522
44,2.8211741,0.0,2.3720675,1.0236206,19.620022
45,2.8200538,0.0,2.4603837,1.2845459,18.19434
46,2.818221,0.0,2.7356734,1.1824036,18.8291
47,2.8101583,0.0,2.7209442,0.68585205,20.016819
48,2.7641644,0.0,2.2549493,1.085968,21.120184
49,2.7403746,0.0,2.3155925,1.7450867,19.68793
50,2.535488,0.0,2.3643603,0.48129272,17.752935
51,2.4989722,0.0,2.4472394,0.42842102,22.735565
52,2.4883041,0.0,2.4386616,4.062866,20.256271
53,2.446872,0.0,2.3520012,1.1289978,19.382307
54,2.4374633,0.0,2.33784,0.54901123,18.241695
55,2.3770213,0.0,2.3760207,0.7317505,22.756659
56,2.3391674,0.0,1.6781628,1.8769226,17.275274
57,2.2976737,0.0,1.9347006,0.53047943,19.346096
58,2.2751603,0.0,0.4954977,1.7990112,19.45581
59,2.2375638,0.0,1.5959402,0.6539917,18.661303
60,2.233532,0.0,1.8405187,0.41368103,22.305748
61,2.2331903,0.0,1.9968364,0.42453003,24.995285
62,2.1753242,0.0,1.8775275,0.6768799,16.99298
63,2.1081686,0.0,1.4789582,0.4239807,22.52482
64,2.0878296,0.0,2.0774817,0.78466797,20.906023
65,2.080473,0.0,1.8499768,0.18536377,17.58871
66,2.0478144,0.0,0.0,0.0,23.947765
67,2.0368915,0.0,1.8061783,0.50523376,20.9622
68,2.0292444,0.0,1.820806,0.40699768,17.863096
69,2.0109947,0.0,1.7996627,0.25904846,21.802662
70,2.0084813,0.0,0.8874078,0.045669556,22.085907
71,2.0045443,0.0,0.701822,1.0967255,17.307247
72,1.9737463,0.0,1.475954,0.52856445,21.730871
73,1.970886,0.0,1.7644837,1.2353516,23.074102
74,1.9492308,0.0,1.6282057,0.15847778,21.957287
75,1.94423,0.0,0.665604,2.4043121,22.701384
76,1.9346141,0.0,1.9328501,0.6286926,21.272448
77,1.9248115,0.0,0.005692587,0.19023132,27.345512
78,1.866178,0.0,0.0,0.0,20.628548
79,1.8599939,0.0,1.4364113,0.16003418,19.78307
80,1.8225279,0.0,1.5427651,0.13977051,31.78344
81,1.8201573,0.0,0.0,0.0,15.918389
82,1.8187754,0.0,1.4657669,0.6564636,22.267239
83,1.8053386,0.0,1.2147229,3.6783447,23.854008
84,1.7953537,0.0,1.706677,2.801773,20.86528
85,1.692002,0.0,1.4055083,3.0296173,24.27199
86,1.6898541,0.0,1.6791235,0.18179321,21.782572
87,1.6888337,0.0,0.697063,3.1898804,21.032776
88,1.68068,0.0,0.0,0.0,21.742392
89,1.6748306,0.0,0.0,0.0,19.60827
90,1.6685375,0.0,0.0,0.0,15.779278
91,1.6601741,0.0,1.1608247,0.6593323,22.605923
92,1.658029,0.0,0.70358264,4.858841,21.552948
93,1.6338065,0.0,0.0,0.0,20.132671
94,1.6209427,0.0,1.5886171,0.6448517,18.768465
95,1.6102118,0.0,0.0,0.0,21.094175
96,1.5827665,0.0,0.0,0.0,22.569834
